,date,accuracy,potential
0,2024-11-11,1,1.140009999999961
0,2024-11-12,1,1.7300399999999172
0,2024-11-13,1,5.3499700000000985
0,2024-11-14,0,-1.0
0,2024-11-15,1,6.13000999999997
0,2024-11-18,1,6.709960000000024
0,2024-11-19,0,-1.0
0,2024-11-20,1,5.230039999999917
0,2024-11-21,1,1.3099999999999454
0,2024-11-22,1,13.520019999999931
0,2024-11-25,1,0.75
0,2024-11-26,1,0.5599999999999454
0,2024-11-27,1,11.08001999999999
0,2024-11-29,1,6.479990000000043
0,2024-12-02,1,1.4899899999999207
0,2024-12-03,1,2.340029999999956
0,2024-12-04,1,1.5600000000000591
0,2024-12-05,1,2.539980000000014
0,2024-12-06,1,9.910030000000006
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,1,3.0999799999999595
0,2024-12-12,1,18.95001000000002
0,2024-12-13,1,5.289980000000014
0,2024-12-16,0,-1.0
0,2024-12-17,1,0.4500100000000202
0,2024-12-18,1,6.520020000000045
0,2024-12-19,1,4.58001999999999
0,2024-12-20,1,0.17999999999994998
0,2024-12-23,1,0.9900499999999965
0,2024-12-24,1,5.739990000000034
0,2024-12-26,1,10.640019999999936
0,2024-12-27,0,-1.0
0,2024-12-30,1,0.4600199999999859
0,2024-12-31,1,2.7799699999999348
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,12.14996999999994
0,2025-01-07,1,4.5
0,2025-01-08,1,17.859980000000064
0,2025-01-10,1,9.729980000000069
0,2025-01-13,1,9.08001999999999
0,2025-01-14,1,14.819940000000088
0,2025-01-15,1,0.12000000000000455
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,4.0799599999999145
0,2025-01-22,0,-1.0
0,2025-01-23,1,6.239990000000034
0,2025-01-24,1,10.570009999999911
0,2025-01-27,1,3.2600099999999657
0,2025-01-28,1,0.75
0,2025-01-29,0,-1.0
0,2025-01-30,1,5.399959999999965
0,2025-01-31,1,16.330010000000016
0,2025-02-03,1,7.189999999999941
0,2025-02-04,1,21.729979999999955
0,2025-02-05,0,-1.0
0,2025-02-06,0,-1.0
0,2025-02-07,1,10.470029999999952
0,2025-02-10,1,8.270019999999931
0,2025-02-11,1,10.090019999999981
0,2025-02-12,1,5.350030000000061
0,2025-02-13,0,-1.0
0,2025-02-14,1,6.510009999999966
0,2025-02-18,0,-1.0
0,2025-02-19,1,6.470030000000065
0,2025-02-20,1,1.0
0,2025-02-21,0,-1.0
0,2025-02-24,0,-1.0
0,2025-02-25,1,7.400030000000015
0,2025-02-26,1,8.540039999999976
0,2025-02-27,0,-1.0
0,2025-02-28,1,8.14002000000005
0,2025-03-03,0,-1.0
0,2025-03-04,1,5.5
0,2025-03-05,1,1.5
0,2025-03-06,1,4.559999999999945
0,2025-03-07,1,16.869989999999916
0,2025-03-10,1,13.940000000000055
0,2025-03-11,1,3.8299600000000282
0,2025-03-12,1,5.349980000000073
0,2025-03-13,1,13.589969999999994
0,2025-03-14,1,12.63000999999997
0,2025-03-17,1,10.180050000000051
0,2025-03-18,1,9.63000999999997
0,2025-03-19,1,7.1299999999999955
0,2025-03-20,1,8.86999999999989
0,2025-03-21,1,9.51001000000008
0,2025-03-24,1,1.7800300000000107
0,2025-03-25,1,5.270020000000045
0,2025-03-26,1,5.5299700000000485
0,2025-03-27,1,2.4699699999999893
0,2025-03-28,0,-1.0
0,2025-03-31,1,2.600029999999947
0,2025-04-01,1,7.130010000000084
0,2025-04-02,0,-1.0
0,2025-04-03,1,39.64000999999996
0,2025-04-04,1,21.01001000000008
0,2025-04-07,1,20.57000999999991
0,2025-04-08,1,9.899959999999965
0,2025-04-09,0,-1.0
0,2025-04-10,1,1.0
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,2.289980000000014
0,2025-04-16,0,-1.0
