,date,accuracy,potential
0,2024-11-11,1,14.820310000000063
0,2024-11-12,0,-1.0
0,2024-11-13,1,55.14014000000043
0,2024-11-14,1,114.07031000000006
0,2024-11-15,1,3.7900399999998626
0,2024-11-18,1,23.220220000000154
0,2024-11-19,1,1.1201200000004974
0,2024-11-20,1,197.6201200000005
0,2024-11-21,1,59.43994999999995
0,2024-11-22,1,103.04004000000077
0,2024-11-25,0,-1.0
0,2024-11-26,1,34.28027999999995
0,2024-11-27,1,31.529779999999846
0,2024-11-29,0,-1.0
0,2024-12-02,1,42.97998000000007
0,2024-12-03,0,-1.0
0,2024-12-04,1,37.830079999999725
0,2024-12-05,1,74.91993000000002
0,2024-12-06,1,50.54003999999986
0,2024-12-09,1,181.1503900000007
0,2024-12-10,1,184.66015999999945
0,2024-12-11,0,-1.0
0,2024-12-12,1,7.439939999999297
0,2024-12-13,1,127.27978000000076
0,2024-12-16,1,78.52002000000084
0,2024-12-17,1,37.21972000000005
0,2024-12-18,0,-1.0
0,2024-12-19,1,62.459969999999885
0,2024-12-20,1,18.939940000000206
0,2024-12-23,1,8.290039999999863
0,2024-12-24,1,52.22998000000007
0,2024-12-26,1,121.56982999999946
0,2024-12-27,0,-1.0
0,2024-12-30,1,13.5
0,2024-12-31,1,102.08983999999964
0,2025-01-02,0,-1.0
0,2025-01-03,1,138.8496099999993
0,2025-01-06,1,77.58984999999939
0,2025-01-07,0,-1.0
0,2025-01-08,1,35.97997999999916
0,2025-01-10,0,-1.0
0,2025-01-13,1,6.120120000000497
0,2025-01-14,1,156.4399400000002
0,2025-01-15,0,-1.0
0,2025-01-16,1,89.29004000000077
0,2025-01-17,1,117.49024000000009
0,2025-01-21,0,-1.0
0,2025-01-22,1,11.370120000000497
0,2025-01-23,1,72.0
0,2025-01-24,1,172.79003999999986
0,2025-01-27,1,96.8798799999995
0,2025-01-28,1,5.979980000000069
0,2025-01-29,1,184.85009999999966
0,2025-01-30,1,117.08983999999964
0,2025-01-31,1,83.74023000000034
0,2025-02-03,0,-1.0
0,2025-02-04,1,265.6098600000005
0,2025-02-05,1,40.580080000000635
0,2025-02-06,1,80.04004000000077
0,2025-02-07,0,-1.0
0,2025-02-10,1,39.26026000000002
0,2025-02-11,1,66.59033
0,2025-02-12,1,24.60985999999957
0,2025-02-13,0,-1.0
0,2025-02-14,1,90.67041000000063
0,2025-02-18,0,-1.0
0,2025-02-19,1,74.54980999999952
0,2025-02-20,1,53.22998000000007
0,2025-02-21,1,52.82031000000006
0,2025-02-24,1,139.5
0,2025-02-25,1,16.919930000000022
0,2025-02-26,1,74.78027999999995
0,2025-02-27,1,38.9697299999998
0,2025-02-28,1,86.29979999999978
0,2025-03-03,1,105.57031999999981
0,2025-03-04,1,34.79004000000077
0,2025-03-05,1,82.05029000000013
0,2025-03-06,1,81.06005000000005
0,2025-03-07,0,-1.0
0,2025-03-10,1,21.42041000000063
0,2025-03-11,0,-1.0
0,2025-03-12,0,-1.0
0,2025-03-13,1,72.97998000000007
0,2025-03-14,1,41.27001999999993
0,2025-03-17,1,206.22022000000015
0,2025-03-18,1,50.52001999999993
0,2025-03-19,1,93.52001999999993
0,2025-03-20,1,32.80029999999988
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,0,-1.0
0,2025-03-28,1,136.3701200000005
0,2025-03-31,1,16.549809999999525
0,2025-04-01,1,73.6298799999995
0,2025-04-02,0,-1.0
0,2025-04-03,0,-1.0
0,2025-04-04,1,151.63013
0,2025-04-07,0,-1.0
0,2025-04-08,1,37.2199700000001
0,2025-04-09,0,-1.0
0,2025-04-10,1,39.39013000000068
0,2025-04-11,0,-1.0
0,2025-04-14,1,42.03028000000086
0,2025-04-15,0,-1.0
0,2025-04-16,1,29.400390000000698
