,date,accuracy,potential
0,2024-11-11,1,4.179990000000089
0,2024-11-12,1,11.04998999999998
0,2024-11-13,1,2.5099500000000035
0,2024-11-14,0,-1.0
0,2024-11-15,0,-1.0
0,2024-11-18,0,-1.0
0,2024-11-19,1,2.390009999999961
0,2024-11-20,1,8.15002000000004
0,2024-11-21,1,4.339969999999994
0,2024-11-22,1,6.010010000000079
0,2024-11-25,1,9.090019999999981
0,2024-11-26,1,7.210019999999986
0,2024-11-27,1,2.8500300000000607
0,2024-11-29,1,15.010009999999966
0,2024-12-02,1,8.090029999999956
0,2024-12-03,1,3.63000999999997
0,2024-12-04,1,14.279969999999935
0,2024-12-05,1,2.5100099999999657
0,2024-12-06,1,23.330010000000016
0,2024-12-09,1,5.45001000000002
0,2024-12-10,1,5.309999999999945
0,2024-12-11,1,5.610050000000001
0,2024-12-12,1,3.200019999999995
0,2024-12-13,1,5.059989999999971
0,2024-12-16,1,3.6599800000000187
0,2024-12-17,0,-1.0
0,2024-12-18,1,2.3900200000000495
0,2024-12-19,0,-1.0
0,2024-12-20,1,15.040039999999976
0,2024-12-23,1,6.179989999999975
0,2024-12-24,1,15.440009999999916
0,2024-12-26,1,4.559990000000084
0,2024-12-27,0,-1.0
0,2024-12-30,1,5.159980000000019
0,2024-12-31,0,-1.0
0,2025-01-02,1,5.489989999999921
0,2025-01-03,1,5.530030000000011
0,2025-01-06,1,1.5899699999999939
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,4.86999000000003
0,2025-01-13,1,1.389949999999999
0,2025-01-14,1,8.69001000000003
0,2025-01-15,1,0.19000000000005457
0,2025-01-16,1,2.9399399999999787
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,8.029970000000048
0,2025-01-23,1,10.680000000000064
0,2025-01-24,1,25.66998000000001
0,2025-01-27,1,2.7299900000000434
0,2025-01-28,1,10.940009999999916
0,2025-01-29,1,15.85997999999995
0,2025-01-30,1,6.0
0,2025-01-31,1,2.589969999999994
0,2025-02-03,1,4.400030000000015
0,2025-02-04,1,0.4299900000000889
0,2025-02-05,0,-1.0
0,2025-02-06,1,0.9500100000000202
0,2025-02-07,1,5.190010000000029
0,2025-02-10,1,0.8200099999999111
0,2025-02-11,1,4.6200000000000045
0,2025-02-12,1,9.779970000000048
0,2025-02-13,1,2.6999499999999443
0,2025-02-14,1,11.809999999999945
0,2025-02-18,1,3.219979999999964
0,2025-02-19,1,13.23004000000003
0,2025-02-20,1,1.229979999999955
0,2025-02-21,1,10.970090000000027
0,2025-02-24,0,-1.0
0,2025-02-25,1,3.7000699999998687
0,2025-02-26,1,5.050040000000081
0,2025-02-27,1,1.9300499999999374
0,2025-02-28,1,3.130010000000084
0,2025-03-03,1,6.479980000000069
0,2025-03-04,1,5.75
0,2025-03-05,1,7.1700400000000855
0,2025-03-06,1,7.040039999999863
0,2025-03-07,1,13.170049999999947
0,2025-03-10,1,3.4799800000000687
0,2025-03-11,1,11.759890000000041
0,2025-03-12,0,-1.0
0,2025-03-13,1,6.5999799999999595
0,2025-03-14,0,-1.0
0,2025-03-17,1,7.449959999999919
0,2025-03-18,1,6.620000000000118
0,2025-03-19,0,-1.0
0,2025-03-20,1,7.190059999999903
0,2025-03-21,1,7.5
0,2025-03-24,1,12.73004000000003
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,3.7700199999999313
0,2025-03-28,1,25.10997999999995
0,2025-03-31,1,10.85997999999995
0,2025-04-01,0,-1.0
0,2025-04-02,1,39.92003999999997
0,2025-04-03,0,-1.0
0,2025-04-04,1,7.869929999999954
0,2025-04-07,1,14.750059999999962
0,2025-04-08,1,18.479979999999955
0,2025-04-09,1,1.3199500000000626
0,2025-04-10,1,17.70995999999991
0,2025-04-11,1,19.390010000000075
0,2025-04-14,1,11.930049999999937
0,2025-04-15,1,9.780029999999897
0,2025-04-16,0,-1.0
