,date,accuracy,potential
0,2024-11-08,1,23.799800000000687
0,2024-11-11,1,39.25
0,2024-11-12,1,47.60009999999966
0,2024-11-13,1,18.05029999999988
0,2024-11-14,1,52.80029999999988
0,2024-11-18,0,-1.0
0,2024-11-19,1,1.7001999999993131
0,2024-11-21,1,63.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,30.850100000000566
0,2024-11-26,1,0.29980000000068685
0,2024-11-27,1,47.0
0,2024-11-28,1,15.350100000000566
0,2024-11-29,1,15.650400000000445
0,2024-12-02,1,4.450200000000223
0,2024-12-03,0,-1.0
0,2024-12-04,1,12.899900000000343
0,2024-12-05,1,17.799799999999777
0,2024-12-06,1,63.79980000000069
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,1,4.600100000000566
0,2024-12-12,1,57.75
0,2024-12-13,0,-1.0
0,2024-12-16,1,46.85009999999966
0,2024-12-17,1,12.950200000000223
0,2024-12-18,0,-1.0
0,2024-12-19,1,24.44970000000012
0,2024-12-20,1,32.19970000000012
0,2024-12-23,1,34.45019999999931
0,2024-12-24,1,15.149899999999434
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,2.300299999999879
0,2024-12-31,1,22.05029999999988
0,2025-01-01,1,31.80029999999988
0,2025-01-02,1,29.600099999999657
0,2025-01-03,1,45.79979999999978
0,2025-01-06,0,-1.0
0,2025-01-07,1,1.7997999999997774
0,2025-01-08,1,11.049799999999777
0,2025-01-09,1,33.69970000000012
0,2025-01-10,0,-1.0
0,2025-01-13,1,36.850100000000566
0,2025-01-14,1,12.450200000000223
0,2025-01-15,1,5.799799999999777
0,2025-01-16,1,12.450199999999313
0,2025-01-17,1,10.850100000000566
0,2025-01-20,1,29.19970000000012
0,2025-01-21,1,15.149900000000343
0,2025-01-22,1,10.44970000000012
0,2025-01-23,1,32.85009999999966
0,2025-01-24,1,76.70020000000022
0,2025-01-27,1,37.55029999999988
0,2025-01-28,1,42.44970000000012
0,2025-01-29,1,39.75
0,2025-01-30,0,-1.0
0,2025-01-31,1,10.600099999999657
0,2025-02-01,0,-1.0
0,2025-02-03,1,40.20019999999931
0,2025-02-04,1,4.899899999999434
0,2025-02-05,1,5.649900000000343
0,2025-02-06,1,51.79979999999978
0,2025-02-07,1,22.75
0,2025-02-10,1,57.75
0,2025-02-11,1,68.65040000000045
0,2025-02-12,1,18.299800000000687
0,2025-02-13,1,22.69970000000012
0,2025-02-14,1,41.10009999999966
0,2025-02-17,1,34.60009999999966
0,2025-02-18,1,11.850099999999657
0,2025-02-19,1,25.75
0,2025-02-20,0,-1.0
0,2025-02-21,0,-1.0
0,2025-02-24,1,2.8500999999996566
0,2025-02-25,1,31.69970000000012
0,2025-02-27,1,92.44970000000012
0,2025-02-28,1,21.75
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,37.54979999999978
0,2025-03-06,1,12.75
0,2025-03-07,1,7.550299999999879
0,2025-03-10,1,34.80029999999988
0,2025-03-11,0,-1.0
0,2025-03-12,1,8.0
0,2025-03-13,1,12.600099999999657
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,0,-1.0
0,2025-03-20,1,9.100099999999657
0,2025-03-21,1,32.95020000000022
0,2025-03-24,1,35.45019999999931
0,2025-03-25,1,28.44970000000012
0,2025-03-26,1,21.700200000000223
0,2025-03-27,1,2.0
0,2025-03-28,1,24.350100000000566
0,2025-04-01,1,3.899899999999434
0,2025-04-02,1,41.64990000000034
0,2025-04-03,1,92.09959999999955
0,2025-04-04,0,-1.0
0,2025-04-07,1,70.45019999999931
0,2025-04-08,1,41.899899999999434
0,2025-04-09,0,-1.0
0,2025-04-11,1,67.0
0,2025-04-15,1,8.80029999999988
0,2025-04-16,1,52.5
