,date,accuracy,potential
0,2024-10-30,1,15.650390000000698
0,2024-10-31,1,7.08983999999964
0,2024-11-03,1,7.990240000000085
0,2024-11-04,0,-1.0
0,2024-11-05,1,36.22021000000041
0,2024-11-10,1,4.359859999999571
0,2024-11-11,1,30.680170000000544
0,2024-11-12,1,30.029789999999593
0,2024-11-13,0,-1.0
0,2024-11-14,1,11.469719999999143
0,2024-11-17,0,-1.0
0,2024-11-18,1,10.419920000000275
0,2024-11-19,1,3.309579999999187
0,2024-11-20,1,6.649900000000343
0,2024-11-21,1,32.43018000000029
0,2024-11-24,1,16.050290000000132
0,2024-11-25,0,-1.0
0,2024-11-26,1,2.3403400000006513
0,2024-11-27,0,-1.0
0,2024-11-28,1,17.520010000000184
0,2024-12-01,0,-1.0
0,2024-12-02,1,6.310059999999794
0,2024-12-03,1,10.740240000000085
0,2024-12-04,1,1.1801800000002913
0,2024-12-05,0,-1.0
0,2024-12-08,0,-1.0
0,2024-12-09,1,17.879880000000412
0,2024-12-10,1,27.189940000000206
0,2024-12-11,1,2.319820000000618
0,2024-12-12,1,8.520019999999931
0,2024-12-15,1,7.430179999999382
0,2024-12-16,1,4.540039999999863
0,2024-12-17,0,-1.0
0,2024-12-22,0,-1.0
0,2024-12-23,1,3.7299800000000687
0,2024-12-24,1,3.3300799999997253
0,2024-12-25,1,22.009760000000824
0,2024-12-26,0,-1.0
0,2024-12-29,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,46.04003999999986
0,2025-01-05,1,8.580069999999978
0,2025-01-06,1,10.23974999999973
0,2025-01-07,1,14.259769999999662
0,2025-01-08,1,13.649899999999434
0,2025-01-09,1,16.22998000000007
0,2025-01-12,1,7.069819999999709
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,19.580080000000635
0,2025-01-16,1,2.6699199999993652
0,2025-01-19,0,-1.0
0,2025-01-20,1,3.4799800000000687
0,2025-01-21,1,0.1098600000004808
0,2025-01-22,1,11.389639999999417
0,2025-01-23,0,-1.0
0,2025-01-26,1,8.490240000000085
0,2025-01-27,0,-1.0
0,2025-01-28,1,12.349609999999302
0,2025-01-29,1,2.9897399999999834
0,2025-01-30,1,19.220220000000154
0,2025-02-02,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,24.39013999999952
0,2025-02-06,1,3.2900399999998626
0,2025-02-10,1,0.5
0,2025-02-12,1,5.150390000000698
0,2025-02-13,1,24.350099999999657
0,2025-02-16,1,7.919920000000275
0,2025-02-17,1,7.149899999999434
0,2025-02-18,1,15.479980000000069
0,2025-02-19,1,4.139649999999165
0,2025-02-20,1,4.080079999999725
0,2025-02-23,1,6.520019999999931
0,2025-02-24,1,36.93018000000029
0,2025-02-25,1,16.100100000000566
0,2025-02-26,1,8.26025000000027
0,2025-02-27,1,44.39991000000009
0,2025-03-03,1,2.8798799999995026
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,3.6499000000003434
0,2025-03-09,0,-1.0
0,2025-03-10,1,23.399899999999434
0,2025-03-11,1,7.830079999999725
0,2025-03-12,1,2.4902400000000853
0,2025-03-13,1,25.94043000000056
0,2025-03-16,1,6.870120000000497
0,2025-03-17,1,11.2197299999998
0,2025-03-18,1,18.230460000000676
0,2025-03-19,1,5.119629999999233
0,2025-03-20,1,14.66016000000036
0,2025-03-23,0,-1.0
0,2025-03-24,1,35.27001999999993
0,2025-03-25,1,18.060060000000703
0,2025-03-26,1,0.049809999999524734
0,2025-03-27,0,-1.0
0,2025-04-06,1,7.180180000000291
0,2025-04-07,0,-1.0
0,2025-04-08,1,39.29003999999986
0,2025-04-09,1,123.60986000000048
0,2025-04-10,1,9.229980000000069
0,2025-04-13,1,30.23974999999973
0,2025-04-14,1,5.520019999999931
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
