,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,99.35986999999932
0,2024-11-13,1,55.76026000000002
0,2024-11-14,1,13.39013999999952
0,2024-11-17,1,29.230460000000676
0,2024-11-18,1,46.19970999999987
0,2024-11-19,1,19.959959999999228
0,2024-11-20,1,3.349609999999302
0,2024-11-21,1,22.560060000000703
0,2024-11-24,1,48.470220000000154
0,2024-11-25,1,36.10008999999991
0,2024-11-26,1,17.64991000000009
0,2024-11-27,1,56.049809999999525
0,2024-11-28,0,-1
0,2024-12-01,1,130.47998000000007
0,2024-12-02,1,43.27001999999993
0,2024-12-03,1,35.029779999999846
0,2024-12-04,0,-1
0,2024-12-05,1,55.39014000000043
0,2024-12-08,1,8.05956999999944
0,2024-12-09,1,20.77001999999993
0,2024-12-10,1,19.149900000000343
0,2024-12-11,0,-1
0,2024-12-12,0,-1
0,2024-12-15,1,49.10985999999957
0,2024-12-16,1,62.9399399999993
0,2024-12-17,1,102.39990000000034
0,2024-12-18,1,56.39014000000043
0,2024-12-19,0,-1
0,2024-12-22,1,38.97021000000041
0,2024-12-23,1,14.790039999999863
0,2024-12-24,1,56.779779999999846
0,2024-12-25,1,6.930180000000291
0,2024-12-26,1,2.130380000000514
0,2024-12-29,1,54.29003999999986
0,2024-12-30,0,-1
0,2024-12-31,1,4.339849999999387
0,2025-01-01,0,-1
0,2025-01-02,1,34.57031999999981
0,2025-01-05,1,43.419919999999365
0,2025-01-06,0,-1
0,2025-01-07,1,13.109859999999571
0,2025-01-08,0,-1
0,2025-01-09,1,17.010260000000017
0,2025-01-12,0,-1
0,2025-01-13,0,-1
0,2025-01-14,1,1.850100000000566
0,2025-01-15,1,25.480460000000676
0,2025-01-16,1,29.330079999999725
0,2025-01-19,0,-1
0,2025-01-20,0,-1
0,2025-01-21,1,3.6103500000008353
0,2025-01-22,1,73.71972000000005
0,2025-01-23,1,10.790039999999863
0,2025-01-26,1,31.94969999999921
0,2025-01-27,0,-1
0,2025-01-28,1,58.79979999999978
0,2025-01-29,1,85.18017000000054
0,2025-01-30,1,22.73974999999973
0,2025-02-02,0,-1
0,2025-02-03,1,55.70996000000014
0,2025-02-04,1,13.830079999999725
0,2025-02-05,1,43.42967999999928
0,2025-02-06,1,3.3100500000000466
0,2025-02-10,1,21.149899999999434
0,2025-02-11,1,27.790030000000115
0,2025-02-12,1,12.060060000000703
0,2025-02-13,1,28.699709999999868
0,2025-02-16,1,23.32958999999937
0,2025-02-17,1,19.47998000000007
0,2025-02-18,1,11.08984000000055
0,2025-02-19,1,1.4897399999999834
0,2025-02-20,1,32.32958999999937
0,2025-02-24,1,9.10986000000048
0,2025-02-25,1,49.419920000000275
0,2025-02-26,0,-1
0,2025-02-27,1,26.740240000000085
0,2025-03-02,1,52.770010000000184
0,2025-03-03,1,51.830080000000635
0,2025-03-04,1,18.600100000000566
0,2025-03-05,1,43.08983999999964
0,2025-03-06,1,34.19970999999987
0,2025-03-09,1,26.299800000000687
0,2025-03-10,0,-1
0,2025-03-11,1,36.490240000000085
0,2025-03-12,0,-1
0,2025-03-13,1,58.490240000000085
0,2025-03-16,1,50.1503900000007
0,2025-03-17,1,7.370120000000497
0,2025-03-18,1,57.33984999999939
0,2025-03-19,1,39.37988000000041
0,2025-03-20,1,9.540039999999863
0,2025-03-23,1,12.390130000000681
0,2025-03-24,1,18.299799999999777
0,2025-03-25,1,28.950200000000223
0,2025-03-26,1,35.9697299999998
0,2025-03-27,1,5.629880000000412
0,2025-04-03,1,293.6396399999994
0,2025-04-06,1,1.4101500000006126
0,2025-04-07,1,156.55029999999988
0,2025-04-08,1,9.929689999999937
0,2025-04-09,0,-1
0,2025-04-10,1,64.89013000000068
0,2025-04-13,1,57.419919999999365
0,2025-04-14,1,18.12988999999925
0,2025-04-15,1,27.17967999999928
0,2025-04-16,1,38.87011999999959
