,date,accuracy,potential
0,2024-11-08,1,38.35986999999932
0,2024-11-11,1,52.85985999999957
0,2024-11-12,1,85.60985999999957
0,2024-11-13,1,44.970220000000154
0,2024-11-14,1,89.97998000000007
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,1,50.37988999999925
0,2024-11-22,0,-1.0
0,2024-11-25,1,30.98974999999973
0,2024-11-26,1,0.6201200000004974
0,2024-11-27,1,93.13038000000051
0,2024-11-28,1,19.049799999999777
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,4.609860000000481
0,2024-12-04,1,70.75
0,2024-12-05,1,5.890130000000681
0,2024-12-06,0,-1.0
0,2024-12-09,1,51.83984000000055
0,2024-12-10,1,18.17967999999928
0,2024-12-11,1,3.6899399999992966
0,2024-12-12,1,9.330079999999725
0,2024-12-13,1,44.73973999999998
0,2024-12-16,1,26.35985999999957
0,2024-12-17,1,118.97998000000007
0,2024-12-18,1,126.97022000000015
0,2024-12-19,1,47.22998000000007
0,2024-12-20,1,45.72998000000007
0,2024-12-23,1,41.439940000000206
0,2024-12-24,1,7.889649999999165
0,2024-12-26,1,27.080080000000635
0,2024-12-27,1,26.35985999999957
0,2024-12-30,1,79.10985999999957
0,2024-12-31,1,4.770019999999931
0,2025-01-01,0,-1.0
0,2025-01-02,1,15.680180000000291
0,2025-01-03,1,127.02001999999993
0,2025-01-06,0,-1.0
0,2025-01-07,1,83.37988000000041
0,2025-01-08,1,42.41016000000036
0,2025-01-09,1,177.85985999999957
0,2025-01-10,1,125.79003000000012
0,2025-01-13,0,-1.0
0,2025-01-14,1,130.29003999999986
0,2025-01-15,0,-1.0
0,2025-01-16,1,50.20996000000014
0,2025-01-17,1,9.060059999999794
0,2025-01-20,1,117.0297899999996
0,2025-01-21,1,126.47998000000007
0,2025-01-22,1,33.919919999999365
0,2025-01-23,1,40.22998000000007
0,2025-01-24,1,200.20996000000014
0,2025-01-27,1,209.06982999999946
0,2025-01-28,1,94.09033
0,2025-01-29,1,110.32031000000006
0,2025-01-30,0,-1.0
0,2025-01-31,1,18.08984000000055
0,2025-02-01,1,429.01025000000027
0,2025-02-03,1,1.060059999999794
0,2025-02-04,0,-1.0
0,2025-02-05,1,46.869619999999486
0,2025-02-06,1,83.33984999999939
0,2025-02-07,1,120.31981999999971
0,2025-02-10,1,100.64989999999943
0,2025-02-11,1,187.47998999999982
0,2025-02-12,1,24.51025000000027
0,2025-02-13,1,115.02001000000018
0,2025-02-14,1,139.0503000000008
0,2025-02-17,1,84.9399399999993
0,2025-02-18,1,40.91993000000002
0,2025-02-19,1,14.439940000000206
0,2025-02-20,1,35.95020000000022
0,2025-02-21,1,97.40040000000045
0,2025-02-24,1,40.389650000000074
0,2025-02-25,1,73.39989999999943
0,2025-02-27,1,133.10985999999957
0,2025-02-28,1,77.39013999999952
0,2025-03-03,1,42.23973999999998
0,2025-03-04,0,-1.0
0,2025-03-05,1,3.869619999999486
0,2025-03-06,1,15.549809999999525
0,2025-03-07,0,-1.0
0,2025-03-10,1,76.31982999999946
0,2025-03-11,1,25.860349999999926
0,2025-03-12,0,-1.0
0,2025-03-13,1,57.009759999999915
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,45.21971999999914
0,2025-03-20,0,-1.0
0,2025-03-21,1,129.70020000000022
0,2025-03-24,1,42.46972000000005
0,2025-03-25,0,-1.0
0,2025-03-26,1,29.58983999999964
0,2025-03-27,0,-1.0
0,2025-03-28,1,38.68018000000029
0,2025-04-01,1,87.97998000000007
0,2025-04-02,0,-1.0
0,2025-04-03,1,152.33007999999973
0,2025-04-04,1,348.2597599999999
0,2025-04-07,1,28.27001999999993
0,2025-04-08,1,2.560059999999794
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,9.639649999999165
0,2025-04-16,1,40.66015000000061
