,date,accuracy,potential
0,2024-11-11,1,2.890009999999961
0,2024-11-12,1,7.619989999999916
0,2024-11-13,1,0.5199599999999691
0,2024-11-14,1,1.119989999999916
0,2024-11-15,1,1.9299899999999752
0,2024-11-18,1,9.53003000000001
0,2024-11-19,0,-1.0
0,2024-11-20,1,10.970030000000065
0,2024-11-21,1,0.5900199999999813
0,2024-11-22,1,1.3099999999999454
0,2024-11-25,1,6.9000299999999015
0,2024-11-26,1,5.899970000000053
0,2024-11-27,1,0.6400199999999359
0,2024-11-29,1,7.979979999999955
0,2024-12-02,1,3.8700000000000045
0,2024-12-03,1,14.979979999999955
0,2024-12-04,0,-1.0
0,2024-12-05,1,11.240049999999997
0,2024-12-06,0,-1.0
0,2024-12-09,1,5.569949999999949
0,2024-12-10,1,5.390010000000075
0,2024-12-11,1,6.219979999999964
0,2024-12-12,1,8.570009999999911
0,2024-12-13,0,-1.0
0,2024-12-16,1,9.919989999999984
0,2024-12-17,1,2.680059999999912
0,2024-12-18,1,2.6999499999999443
0,2024-12-19,1,2.1500199999999268
0,2024-12-20,1,5.659970000000044
0,2024-12-23,1,2.5599899999999707
0,2024-12-24,1,2.840020000000095
0,2024-12-26,1,3.160030000000006
0,2024-12-27,1,6.66998000000001
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,12.16998000000001
0,2025-01-06,1,15.270019999999931
0,2025-01-07,1,9.829960000000028
0,2025-01-08,1,0.770020000000045
0,2025-01-10,1,15.91003999999998
0,2025-01-13,1,7.510009999999966
0,2025-01-14,1,0.8499699999999848
0,2025-01-15,1,3.9700300000000652
0,2025-01-16,1,2.3700599999999667
0,2025-01-17,1,9.779970000000048
0,2025-01-21,1,6.25
0,2025-01-22,0,-1.0
0,2025-01-23,1,7.140009999999961
0,2025-01-24,0,-1.0
0,2025-01-27,1,5.310000000000059
0,2025-01-28,1,4.339969999999994
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,1.5599900000000844
0,2025-02-03,1,18.29998999999998
0,2025-02-04,1,4.690000000000055
0,2025-02-05,1,6.3700000000000045
0,2025-02-06,1,0.029970000000048458
0,2025-02-07,0,-1.0
0,2025-02-10,0,-1.0
0,2025-02-11,0,-1.0
0,2025-02-12,1,5.309999999999945
0,2025-02-13,0,-1.0
0,2025-02-14,0,-1.0
0,2025-02-18,0,-1.0
0,2025-02-19,1,0.5600000000000591
0,2025-02-20,1,7.309989999999971
0,2025-02-21,1,1.8599799999999505
0,2025-02-24,1,11.71996999999999
0,2025-02-25,1,5.309999999999945
0,2025-02-26,1,0.8700000000000045
0,2025-02-27,1,6.340020000000095
0,2025-02-28,1,5.1700499999999465
0,2025-03-03,0,-1.0
0,2025-03-04,1,20.41998000000001
0,2025-03-05,1,6.75
0,2025-03-06,0,-1.0
0,2025-03-07,0,-1.0
0,2025-03-10,1,16.100040000000035
0,2025-03-11,1,5.840020000000095
0,2025-03-12,1,5.409970000000044
0,2025-03-13,1,1.860050000000001
0,2025-03-14,1,10.759950000000003
0,2025-03-17,1,2.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,3.36999000000003
0,2025-03-20,0,-1.0
0,2025-03-21,1,7.400019999999927
0,2025-03-24,1,11.76995999999997
0,2025-03-25,0,-1.0
0,2025-03-26,1,6.54004000000009
0,2025-03-27,1,3.2000100000000202
0,2025-03-28,0,-1.0
0,2025-03-31,1,5.319999999999936
0,2025-04-01,1,8.809990000000084
0,2025-04-02,1,37.35002999999995
0,2025-04-03,1,45.48003999999992
0,2025-04-04,1,34.26996000000008
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,1,33.84003000000007
0,2025-04-10,1,9.08001999999999
0,2025-04-11,1,12.5
0,2025-04-14,1,0.11004000000002634
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
