,date,accuracy,potential
0,2024-11-11,1,2.9700300000000652
0,2024-11-12,1,8.58996000000002
0,2024-11-13,1,8.38000999999997
0,2024-11-14,1,17.58001999999999
0,2024-11-15,1,4.239990000000034
0,2024-11-18,1,5.07000000000005
0,2024-11-19,1,2.450019999999995
0,2024-11-20,1,0.7300400000000309
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,5.039980000000014
0,2024-11-26,0,-1.0
0,2024-11-27,1,2.3000500000000557
0,2024-11-29,0,-1.0
0,2024-12-02,1,5.5999799999999595
0,2024-12-03,0,-1.0
0,2024-12-04,1,16.540039999999976
0,2024-12-05,0,-1.0
0,2024-12-06,1,2.1500199999999268
0,2024-12-09,1,8.589969999999994
0,2024-12-10,0,-1.0
0,2024-12-11,1,1.2100200000000996
0,2024-12-12,1,15.63000999999997
0,2024-12-13,0,-1.0
0,2024-12-16,1,8.46996999999999
0,2024-12-17,1,0.8900100000000748
0,2024-12-18,1,6.4900499999999965
0,2024-12-19,1,13.789980000000014
0,2024-12-20,1,7.0799500000000535
0,2024-12-23,1,1.950019999999995
0,2024-12-24,1,5.600040000000035
0,2024-12-26,1,8.350040000000035
0,2024-12-27,1,11.030020000000036
0,2024-12-30,0,-1.0
0,2024-12-31,1,6.929989999999975
0,2025-01-02,1,1.1200000000000045
0,2025-01-03,0,-1.0
0,2025-01-06,1,13.070010000000025
0,2025-01-07,1,6.1200000000000045
0,2025-01-08,0,-1.0
0,2025-01-10,1,8.91998000000001
0,2025-01-13,1,9.61999999999989
0,2025-01-14,0,-1.0
0,2025-01-15,1,8.42999999999995
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,4.359990000000039
0,2025-01-22,1,4.42999999999995
0,2025-01-23,1,3.3700000000000045
0,2025-01-24,1,3.0700100000000248
0,2025-01-27,1,2.0299699999999348
0,2025-01-28,1,0.21001999999998588
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,14.16998000000001
0,2025-02-03,1,0.6800000000000637
0,2025-02-04,1,0.23998999999992066
0,2025-02-05,1,7.11999000000003
0,2025-02-06,1,0.7999899999999798
0,2025-02-07,1,7.0
0,2025-02-10,1,8.339969999999994
0,2025-02-11,1,34.739990000000034
0,2025-02-12,1,9.25
0,2025-02-13,1,1.8700000000000045
0,2025-02-14,1,4.2100200000001
0,2025-02-18,1,12.570010000000025
0,2025-02-19,1,12.529970000000048
0,2025-02-20,1,2.520020000000045
0,2025-02-21,1,6.099969999999985
0,2025-02-24,1,0.09997000000009848
0,2025-02-25,1,0.409979999999905
0,2025-02-26,1,3.229979999999955
0,2025-02-27,1,0.5299699999999348
0,2025-02-28,1,3.550049999999942
0,2025-03-03,1,19.460019999999986
0,2025-03-04,1,2.5
0,2025-03-05,1,13.559999999999945
0,2025-03-06,1,14.740000000000009
0,2025-03-07,1,8.36999000000003
0,2025-03-10,1,3.63000999999997
0,2025-03-11,0,-1.0
0,2025-03-12,1,16.449950000000058
0,2025-03-13,0,-1.0
0,2025-03-14,1,11.539980000000014
0,2025-03-17,1,9.03003000000001
0,2025-03-18,1,1.2400499999999965
0,2025-03-19,1,7.090019999999981
0,2025-03-20,1,13.01001000000008
0,2025-03-21,0,-1.0
0,2025-03-24,1,2.789980000000014
0,2025-03-25,0,-1.0
0,2025-03-26,1,7.359990000000039
0,2025-03-27,1,3.4699699999999893
0,2025-03-28,1,11.91003999999998
0,2025-03-31,1,9.100029999999947
0,2025-04-01,1,8.339969999999994
0,2025-04-02,1,36.31000000000006
0,2025-04-03,1,34.88995
0,2025-04-04,1,18.210019999999986
0,2025-04-07,1,15.799990000000093
0,2025-04-08,1,22.940000000000055
0,2025-04-09,1,29.929989999999975
0,2025-04-10,1,14.75
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,7.860040000000026
0,2025-04-16,1,0.27997000000004846
