,date,accuracy,potential
0,2024-11-08,1,86.47069999999803
0,2024-11-11,1,88.81053999999858
0,2024-11-12,1,347.52929999999833
0,2024-11-13,1,176.26952999999776
0,2024-11-14,1,192.59960999999748
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,59.291010000000824
0,2024-11-26,1,153.83984000000055
0,2024-11-27,1,202.91992000000027
0,2024-11-28,0,-1.0
0,2024-11-29,1,35.0
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,141.84961000000112
0,2024-12-05,1,7.929689999997208
0,2024-12-06,0,-1.0
0,2024-12-09,1,56.480469999998604
0,2024-12-10,1,15.25
0,2024-12-11,1,133.9413999999997
0,2024-12-12,1,26.43945000000167
0,2024-12-13,1,51.679690000000846
0,2024-12-16,1,145.3593800000017
0,2024-12-17,1,218.64062999999805
0,2024-12-18,1,416.5996100000011
0,2024-12-19,1,117.78906000000279
0,2024-12-20,1,108.0
0,2024-12-23,1,41.240239999999176
0,2024-12-24,0,-1.0
0,2024-12-26,1,34.2890699999989
0,2024-12-27,0,-1.0
0,2024-12-30,1,98.91992000000027
0,2024-12-31,1,29.94140000000334
0,2025-01-01,1,38.980469999998604
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,142.0
0,2025-01-08,1,169.73827999999776
0,2025-01-09,1,464.37890999999945
0,2025-01-10,1,365.03905999999915
0,2025-01-13,0,-1.0
0,2025-01-14,1,30.77929999999833
0,2025-01-15,0,-1.0
0,2025-01-16,1,92.9101499999997
0,2025-01-17,1,192.88867000000027
0,2025-01-20,1,73.70117000000027
0,2025-01-21,1,322.8515600000028
0,2025-01-22,1,141.27929999999833
0,2025-01-23,1,198.97069999999803
0,2025-01-24,0,-1.0
0,2025-01-27,1,334.97069999999803
0,2025-01-28,1,12.769529999997758
0,2025-01-29,1,253.53125
0,2025-01-30,1,130.77929999999833
0,2025-01-31,1,31.58984000000055
0,2025-02-01,1,1188.6289099999995
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,69.17969000000085
0,2025-02-06,0,-1.0
0,2025-02-07,1,311.1191399999989
0,2025-02-10,1,356.07030999999915
0,2025-02-11,1,486.9511700000003
0,2025-02-12,1,33.24022999999943
0,2025-02-13,1,269.22069999999803
0,2025-02-14,1,362.22070000000167
0,2025-02-17,0,-1.0
0,2025-02-18,1,68.17969000000085
0,2025-02-19,1,45.27929000000222
0,2025-02-20,1,154.46875
0,2025-02-21,1,220.1796899999972
0,2025-02-24,1,103.86132999999973
0,2025-02-25,1,139.10937000000195
0,2025-02-27,1,307.79003999999986
0,2025-02-28,1,88.6503900000007
0,2025-03-03,1,244.36035000000084
0,2025-03-04,1,371.36035000000084
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,172.92969000000085
0,2025-03-10,1,181.12109000000055
0,2025-03-11,1,66.43945999999778
0,2025-03-12,0,-1.0
0,2025-03-13,1,31.429690000000846
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,191.83006999999998
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,48.701170000000275
0,2025-03-25,1,182.20117000000027
0,2025-03-26,1,28.619140000002517
0,2025-03-27,0,-1.0
0,2025-03-28,0,-1.0
0,2025-04-01,0,-1.0
0,2025-04-02,1,54.46093999999721
0,2025-04-03,0,-1.0
0,2025-04-04,1,1014.3105399999986
0,2025-04-07,1,419.3203100000028
0,2025-04-08,1,249.2890600000028
0,2025-04-09,0,-1.0
0,2025-04-11,1,350.1699200000003
0,2025-04-15,1,29.759769999996934
0,2025-04-16,1,103.16015000000334
