,date,accuracy,potential
0,2024-11-07,1,9.800050000000056
0,2024-11-08,1,7.739990000000034
0,2024-11-11,1,13.070010000000025
0,2024-11-12,1,17.169989999999984
0,2024-11-13,1,6.79998999999998
0,2024-11-14,1,4.810000000000059
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,2.9600299999999606
0,2024-11-26,1,4.729979999999955
0,2024-11-27,1,8.809999999999945
0,2024-11-28,1,3.0400399999999763
0,2024-11-29,1,5.989989999999921
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,7.770020000000045
0,2024-12-05,1,10.059999999999945
0,2024-12-06,1,4.859980000000064
0,2024-12-09,1,3.689999999999941
0,2024-12-10,0,-1.0
0,2024-12-11,1,1.1200599999999667
0,2024-12-12,1,20.100029999999947
0,2024-12-13,1,1.0
0,2024-12-16,1,8.659979999999905
0,2024-12-17,1,6.0
0,2024-12-18,1,18.489990000000034
0,2024-12-19,1,4.270020000000045
0,2024-12-20,0,-1.0
0,2024-12-23,1,1.3300199999999904
0,2024-12-24,1,6.0
0,2024-12-26,1,0.6400200000000495
0,2024-12-27,1,0.6900000000000546
0,2024-12-30,1,5.58001999999999
0,2024-12-31,0,-1.0
0,2025-01-01,1,2.2000100000000202
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,0,-1.0
0,2025-01-07,1,2.019959999999969
0,2025-01-08,1,6.33001999999999
0,2025-01-09,0,-1.0
0,2025-01-10,1,16.129999999999995
0,2025-01-13,0,-1.0
0,2025-01-14,1,0.7199799999999641
0,2025-01-15,1,14.020019999999931
0,2025-01-16,1,7.1299999999999955
0,2025-01-17,1,2.6699899999999843
0,2025-01-20,1,6.939999999999941
0,2025-01-21,0,-1.0
0,2025-01-22,1,6.400019999999927
0,2025-01-23,1,8.479980000000069
0,2025-01-24,1,17.009950000000003
0,2025-01-27,1,9.669989999999984
0,2025-01-28,1,2.42999999999995
0,2025-01-29,0,-1.0
0,2025-01-30,1,1.9899900000000343
0,2025-01-31,1,0.6099799999999505
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,1.1000300000000607
0,2025-02-06,0,-1.0
0,2025-02-07,1,15.10997999999995
0,2025-02-10,1,9.979980000000069
0,2025-02-11,1,2.1000300000000607
0,2025-02-12,1,1.2899700000000394
0,2025-02-13,1,10.63000999999997
0,2025-02-14,1,5.220030000000065
0,2025-02-17,1,14.309990000000084
0,2025-02-18,1,1.9500100000000202
0,2025-02-19,1,0.9199899999999843
0,2025-02-20,1,8.91998000000001
0,2025-02-21,0,-1.0
0,2025-02-24,1,5.780030000000011
0,2025-02-25,1,3.6700400000000855
0,2025-02-27,1,14.86999000000003
0,2025-02-28,1,13.0
0,2025-03-03,1,13.679989999999975
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,1.4899899999999207
0,2025-03-07,1,1.2899700000000394
0,2025-03-10,1,8.820010000000025
0,2025-03-11,1,5.8499799999999595
0,2025-03-12,1,5.539980000000014
0,2025-03-13,0,-1.0
0,2025-03-17,1,8.559990000000084
0,2025-03-18,0,-1.0
0,2025-03-19,1,5.75
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,11.339969999999994
0,2025-03-25,0,-1.0
0,2025-03-26,1,5.38000999999997
0,2025-03-27,0,-1.0
0,2025-03-28,1,0.949950000000058
0,2025-04-01,0,-1.0
0,2025-04-02,1,6.239989999999921
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,13.490049999999997
0,2025-04-09,1,15.48998999999992
0,2025-04-11,0,-1.0
0,2025-04-15,1,2.609989999999925
0,2025-04-16,1,4.91998000000001
