,date,accuracy,potential
0,2024-11-11,1,2.4799899999999866
0,2024-11-12,1,0.410000000000025
0,2024-11-13,1,2.2600100000000225
0,2024-11-14,1,3.030000000000001
0,2024-11-15,1,0.4799899999999866
0,2024-11-18,1,2.5099899999999877
0,2024-11-19,1,0.5399899999999889
0,2024-11-20,0,-1.0
0,2024-11-21,1,1.7700000000000102
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,1.3600000000000136
0,2024-11-27,1,0.93001000000001
0,2024-11-29,1,0.6899799999999914
0,2024-12-02,0,-1.0
0,2024-12-03,1,1.1800000000000068
0,2024-12-04,1,2.430000000000007
0,2024-12-05,1,2.5100100000000225
0,2024-12-06,1,0.6099999999999852
0,2024-12-09,1,1.5100100000000225
0,2024-12-10,0,-1.0
0,2024-12-11,1,0.8400000000000034
0,2024-12-12,1,0.7300000000000182
0,2024-12-13,1,1.0800099999999873
0,2024-12-16,1,0.6200100000000077
0,2024-12-17,1,1.440010000000001
0,2024-12-18,1,1.5500099999999861
0,2024-12-19,1,1.0800000000000125
0,2024-12-20,1,1.3900000000000148
0,2024-12-23,1,0.22999999999998977
0,2024-12-24,1,1.0899900000000002
0,2024-12-26,1,1.4899899999999775
0,2024-12-27,1,3.240000000000009
0,2024-12-30,0,-1.0
0,2024-12-31,1,1.0400100000000236
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,1.7900099999999952
0,2025-01-07,1,2.649989999999974
0,2025-01-08,1,1.7800000000000011
0,2025-01-10,1,1.43001000000001
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,0.4399799999999914
0,2025-01-16,1,0.03998999999998887
0,2025-01-17,1,0.03999999999999204
0,2025-01-21,1,0.9500200000000234
0,2025-01-22,1,1.1500100000000089
0,2025-01-23,1,1.4699999999999989
0,2025-01-24,1,0.3799899999999923
0,2025-01-27,1,0.3799899999999923
0,2025-01-28,1,2.8400100000000066
0,2025-01-29,1,1.970010000000002
0,2025-01-30,0,-1.0
0,2025-01-31,1,4.510009999999994
0,2025-02-03,1,0.539999999999992
0,2025-02-04,1,4.969999999999999
0,2025-02-05,1,1.0100100000000225
0,2025-02-06,1,0.950000000000017
0,2025-02-07,0,-1.0
0,2025-02-10,1,0.9300000000000068
0,2025-02-11,1,1.81998999999999
0,2025-02-12,1,1.9199899999999843
0,2025-02-13,1,0.5899900000000002
0,2025-02-14,1,0.5100100000000225
0,2025-02-18,1,1.670000000000016
0,2025-02-19,1,1.720010000000002
0,2025-02-20,1,1.5300000000000011
0,2025-02-21,1,1.420000000000016
0,2025-02-24,1,1.190010000000001
0,2025-02-25,0,-1.0
0,2025-02-26,1,0.75
0,2025-02-27,0,-1.0
0,2025-02-28,1,2.0500000000000114
0,2025-03-03,1,2.7900000000000063
0,2025-03-04,0,-1.0
0,2025-03-05,1,2.319999999999993
0,2025-03-06,0,-1.0
0,2025-03-07,1,2.009999999999991
0,2025-03-10,1,2.519999999999996
0,2025-03-11,1,1.2399999999999949
0,2025-03-12,1,2.260000000000005
0,2025-03-13,0,-1.0
0,2025-03-14,0,-1.0
0,2025-03-17,1,1.2199999999999989
0,2025-03-18,1,1.6300000000000097
0,2025-03-19,1,1.0999999999999943
0,2025-03-20,1,1.9000000000000057
0,2025-03-21,1,2.9399999999999977
0,2025-03-24,1,0.09000000000000341
0,2025-03-25,0,-1.0
0,2025-03-26,1,1.3100000000000023
0,2025-03-27,1,2.280000000000001
0,2025-03-28,1,2.3499999999999943
0,2025-03-31,0,-1.0
0,2025-04-01,0,-1.0
0,2025-04-02,1,7.700000000000003
0,2025-04-03,1,8.209999999999994
0,2025-04-04,1,6.780000000000001
0,2025-04-07,0,-1.0
0,2025-04-08,1,0.6099999999999994
0,2025-04-09,1,4.840000000000003
0,2025-04-10,1,2.0799999999999983
0,2025-04-11,0,-1.0
0,2025-04-14,1,0.9700000000000131
0,2025-04-15,1,1.1500000000000057
0,2025-04-16,1,3.049999999999997
