,date,accuracy,potential
0,2024-11-11,1,4.910039999999981
0,2024-11-12,1,3.939999999999941
0,2024-11-13,1,2.160030000000006
0,2024-11-14,0,-1.0
0,2024-11-15,0,-1.0
0,2024-11-18,1,5.159970000000044
0,2024-11-19,1,0.3599899999999252
0,2024-11-20,1,3.6299400000000333
0,2024-11-21,1,0.21996999999998934
0,2024-11-22,0,-1.0
0,2024-11-25,1,0.9500100000000202
0,2024-11-26,0,-1.0
0,2024-11-27,1,0.8299500000000535
0,2024-11-29,1,5.139949999999999
0,2024-12-02,1,3.9199800000000096
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.45000999999990654
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,6.16998000000001
0,2024-12-10,0,-1.0
0,2024-12-11,1,2.4700299999999515
0,2024-12-12,1,4.4900499999999965
0,2024-12-13,1,3.490000000000009
0,2024-12-16,1,0.24004999999999654
0,2024-12-17,0,-1.0
0,2024-12-18,1,9.20001000000002
0,2024-12-19,1,0.5400300000000016
0,2024-12-20,1,0.5899699999999939
0,2024-12-23,1,0.8800099999999702
0,2024-12-24,1,1.2699599999999691
0,2024-12-26,1,0.22998000000006869
0,2024-12-27,1,8.679989999999975
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,1,1.8900199999999359
0,2025-01-03,1,7.310000000000059
0,2025-01-06,0,-1.0
0,2025-01-07,1,6.739990000000034
0,2025-01-08,1,11.64002000000005
0,2025-01-10,1,3.089960000000019
0,2025-01-13,1,1.9600200000000996
0,2025-01-14,1,2.960019999999986
0,2025-01-15,1,3.2200299999999515
0,2025-01-16,0,-1.0
0,2025-01-17,1,5.710019999999986
0,2025-01-21,1,4.730040000000031
0,2025-01-22,1,1.4000200000000405
0,2025-01-23,1,0.41003999999998086
0,2025-01-24,0,-1.0
0,2025-01-27,1,5.289980000000014
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,8.79998999999998
0,2025-02-03,1,10.540039999999976
0,2025-02-04,1,2.3200100000000248
0,2025-02-05,0,-1.0
0,2025-02-06,1,0.4199899999999843
0,2025-02-07,1,6.75
0,2025-02-10,1,3.0099500000000035
0,2025-02-11,1,9.81000000000006
0,2025-02-12,1,2.229979999999955
0,2025-02-13,1,0.6200000000000045
0,2025-02-14,1,11.549980000000005
0,2025-02-18,1,1.5799599999999145
0,2025-02-19,1,0.95995999999991
0,2025-02-20,0,-1.0
0,2025-02-21,1,3.4400000000000546
0,2025-02-24,0,-1.0
0,2025-02-25,1,15.740049999999997
0,2025-02-26,1,4.270020000000045
0,2025-02-27,1,0.9400099999999156
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,2.0
0,2025-03-05,1,2.5200199999999313
0,2025-03-06,1,0.6800000000000637
0,2025-03-07,1,21.4600200000001
0,2025-03-10,1,11.16998000000001
0,2025-03-11,0,-1.0
0,2025-03-12,1,5.879940000000033
0,2025-03-13,1,1.9500100000000202
0,2025-03-14,1,0.07001000000002477
0,2025-03-17,1,2.840020000000095
0,2025-03-18,0,-1.0
0,2025-03-19,1,4.529969999999935
0,2025-03-20,1,0.03003000000001066
0,2025-03-21,1,2.859989999999925
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,0,-1.0
0,2025-03-28,1,7.779969999999935
0,2025-03-31,1,4.40996999999993
0,2025-04-01,1,2.2000099999999065
0,2025-04-02,0,-1.0
0,2025-04-03,1,6.229990000000043
0,2025-04-04,1,16.25
0,2025-04-07,0,-1.0
0,2025-04-08,1,7.0399799999999
0,2025-04-09,1,6.739990000000034
0,2025-04-10,1,0.12000000000000455
0,2025-04-11,1,1.5999699999999848
0,2025-04-14,1,4.2899799999999
0,2025-04-15,1,1.5999799999999595
0,2025-04-16,1,6.16998000000001
