,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,4.410030000000006
0,2024-11-13,1,11.459969999999885
0,2024-11-14,1,9.79004000000009
0,2024-11-15,1,5.789919999999938
0,2024-11-18,1,17.79993000000013
0,2024-11-19,1,12.050040000000081
0,2024-11-20,0,-1
0,2024-11-21,0,-1
0,2024-11-22,0,-1
0,2024-11-25,1,27.719969999999876
0,2024-11-26,1,1.4200399999999718
0,2024-11-27,1,0.7300999999999931
0,2024-11-29,0,-1
0,2024-12-02,1,32.199949999999944
0,2024-12-03,1,22.80004999999983
0,2024-12-04,1,18.65002000000004
0,2024-12-05,1,11.75
0,2024-12-06,1,2.7600099999999657
0,2024-12-09,1,9.950070000000096
0,2024-12-10,1,4.339960000000019
0,2024-12-11,1,0.37987999999995736
0,2024-12-12,1,3.1900600000001305
0,2024-12-13,1,0.9599600000001374
0,2024-12-16,1,11.69006000000013
0,2024-12-17,1,4.729979999999841
0,2024-12-18,1,11.819950000000063
0,2024-12-19,1,21.44995000000017
0,2024-12-20,1,14.810060000000021
0,2024-12-23,1,3.900030000000015
0,2024-12-24,1,6.709960000000137
0,2024-12-26,1,9.739990000000034
0,2024-12-27,1,23.78002000000015
0,2024-12-30,0,-1
0,2024-12-31,1,11.369989999999916
0,2025-01-02,1,3.119999999999891
0,2025-01-03,1,13.530030000000124
0,2025-01-06,1,1.0299099999999726
0,2025-01-07,1,9.719970000000103
0,2025-01-08,1,27.15002000000004
0,2025-01-10,1,9.580079999999953
0,2025-01-13,0,-1
0,2025-01-14,0,-1
0,2025-01-15,1,2.280029999999897
0,2025-01-16,1,15.669920000000047
0,2025-01-17,0,-1
0,2025-01-21,1,12.420039999999972
0,2025-01-22,1,32.089969999999994
0,2025-01-23,1,15.909920000000056
0,2025-01-24,0,-1
0,2025-01-27,1,12.849970000000212
0,2025-01-28,1,20.25
0,2025-01-29,1,58.80004999999983
0,2025-01-30,1,3.5
0,2025-01-31,0,-1
0,2025-02-03,1,10.299929999999904
0,2025-02-04,0,-1
0,2025-02-05,0,-1
0,2025-02-06,1,0.2299799999998413
0,2025-02-07,0,-1
0,2025-02-10,1,3.0699500000000626
0,2025-02-11,1,22.599969999999985
0,2025-02-12,1,2.320069999999987
0,2025-02-13,0,-1
0,2025-02-14,1,5.4000200000000405
0,2025-02-18,1,28.219970000000103
0,2025-02-19,1,9.310060000000021
0,2025-02-20,1,63.989990000000034
0,2025-02-21,1,4.989989999999807
0,2025-02-24,0,-1
0,2025-02-25,1,3.0500500000000557
0,2025-02-26,1,2.5200199999999313
0,2025-02-27,1,17.429930000000013
0,2025-02-28,0,-1
0,2025-03-03,0,-1
0,2025-03-04,1,18.809940000000097
0,2025-03-05,1,14.790039999999863
0,2025-03-06,1,2.6999499999999443
0,2025-03-07,1,6.760009999999966
0,2025-03-10,1,43.09997999999996
0,2025-03-11,1,18.40002000000004
0,2025-03-12,1,2.160039999999981
0,2025-03-13,1,15.390010000000075
0,2025-03-14,1,2.7401099999999587
0,2025-03-17,1,9.64002000000005
0,2025-03-18,1,3.890010000000075
0,2025-03-19,1,13.79004000000009
0,2025-03-20,0,-1
0,2025-03-21,1,25.879879999999957
0,2025-03-24,1,12.419920000000047
0,2025-03-25,1,10.240109999999959
0,2025-03-26,1,0.3400899999999183
0,2025-03-27,1,18.319940000000088
0,2025-03-28,1,11.430049999999937
0,2025-03-31,1,15.579960000000028
0,2025-04-01,1,11.08008000000018
0,2025-04-02,1,99.01000999999997
0,2025-04-03,1,64.66003999999998
0,2025-04-04,1,53.719969999999876
0,2025-04-07,0,-1
0,2025-04-08,1,14.260009999999966
0,2025-04-09,1,48.260009999999966
0,2025-04-10,1,33.609989999999925
0,2025-04-11,1,27.880009999999857
0,2025-04-14,1,3.7598900000000413
0,2025-04-15,1,23.640019999999822
0,2025-04-16,0,-1
