,date,accuracy,potential
0,2024-11-14,1,18.990240000000085
0,2024-11-15,1,23.759769999999662
0,2024-11-18,1,42.0
0,2024-11-19,1,27.910150000000613
0,2024-11-20,1,19.100100000000566
0,2024-11-21,1,62.35059000000092
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,1,7.669919999998456
0,2024-11-27,0,-1.0
0,2024-11-28,1,12.55956999999944
0,2024-11-29,1,12.08983999999873
0,2024-12-02,0,-1.0
0,2024-12-03,1,42.64940999999999
0,2024-12-04,1,8.650390000000698
0,2024-12-05,1,18.099609999999302
0,2024-12-06,0,-1.0
0,2024-12-09,1,54.04003999999986
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,1,21.21972999999889
0,2024-12-13,1,7.699219999998604
0,2024-12-16,1,66.48047000000042
0,2024-12-17,1,32.05956999999944
0,2024-12-18,0,-1.0
0,2024-12-19,1,53.659670000000006
0,2024-12-20,1,4.620119999999588
0,2024-12-23,0,-1.0
0,2024-12-24,1,24.910150000000613
0,2024-12-27,1,28.439939999999297
0,2024-12-30,1,8.580080000000635
0,2024-12-31,1,32.73047000000042
0,2025-01-02,1,7.3701099999998405
0,2025-01-03,0,-1.0
0,2025-01-06,1,52.4399399999993
0,2025-01-07,0,-1.0
0,2025-01-08,1,1.4404299999987416
0,2025-01-09,1,18.479489999999714
0,2025-01-10,0,-1.0
0,2025-01-13,1,12.009769999998753
0,2025-01-14,1,64.87988000000041
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-20,0,-1.0
0,2025-01-21,1,32.43946000000142
0,2025-01-22,1,8.110349999999016
0,2025-01-23,1,35.25
0,2025-01-24,1,35.12011999999959
0,2025-01-27,0,-1.0
0,2025-01-28,1,20.049809999998615
0,2025-01-29,1,23.31934000000001
0,2025-01-30,1,42.740239999999176
0,2025-01-31,0,-1.0
0,2025-02-03,1,49.51954000000114
0,2025-02-04,1,22.450189999999566
0,2025-02-05,0,-1.0
0,2025-02-06,1,26.900390000000698
0,2025-02-07,1,47.8496099999993
0,2025-02-10,1,14.429689999999027
0,2025-02-11,1,6.449219999998604
0,2025-02-12,1,3.229489999999714
0,2025-02-13,0,-1.0
0,2025-02-14,0,-1.0
0,2025-02-17,1,16.449220000000423
0,2025-02-18,1,32.680669999999736
0,2025-02-19,1,25.58983999999873
0,2025-02-20,1,9.919920000000275
0,2025-02-21,1,5.5595699999994395
0,2025-02-24,1,33.43065999999999
0,2025-02-25,0,-1.0
0,2025-02-26,1,55.95996000000014
0,2025-02-27,1,25.790039999999863
0,2025-02-28,0,-1.0
0,2025-03-03,1,66.99023000000125
0,2025-03-04,1,82.05956999999944
0,2025-03-05,1,99.64062000000013
0,2025-03-06,1,60.64940999999999
0,2025-03-07,1,18.18944999999985
0,2025-03-10,1,23.939460000001418
0,2025-03-11,0,-1.0
0,2025-03-12,1,15.549800000000687
0,2025-03-13,0,-1.0
0,2025-03-14,1,7.25
0,2025-03-17,0,-1.0
0,2025-03-18,1,39.68065999999999
0,2025-03-19,1,29.980469999998604
0,2025-03-20,1,52.51074000000153
0,2025-03-21,1,13.299810000000434
0,2025-03-24,0,-1.0
0,2025-03-25,1,21.50977000000057
0,2025-03-26,1,67.67969000000085
0,2025-03-27,1,30.950199999999313
0,2025-03-28,1,96.97949000000153
0,2025-03-31,1,86.61035000000084
0,2025-04-01,1,57.79003999999986
0,2025-04-02,0,-1.0
0,2025-04-03,1,130.16015999999945
0,2025-04-04,0,-1.0
0,2025-04-07,1,174.75975999999991
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-10,1,57.700190000000475
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,75.6796800000011
0,2025-04-16,1,70.03026999999929
