,date,accuracy,potential
0,2024-11-08,1,63.25
0,2024-11-11,1,106.25
0,2024-11-12,1,203.79882999999973
0,2024-11-13,1,61.65038999999888
0,2024-11-14,0,-1.0
0,2024-11-18,1,272.19922000000224
0,2024-11-19,1,24.550779999997758
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,124.70117000000027
0,2024-11-26,1,4.75
0,2024-11-27,1,166.25
0,2024-11-28,1,67.59961000000112
0,2024-11-29,1,74.34961000000112
0,2024-12-02,1,27.298829999999725
0,2024-12-03,0,-1.0
0,2024-12-04,1,46.75
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,0,-1.0
0,2024-12-12,0,-1.0
0,2024-12-13,1,14.599610000001121
0,2024-12-16,1,169.80077999999776
0,2024-12-17,1,45.25
0,2024-12-18,1,334.2988299999997
0,2024-12-19,1,112.0507800000014
0,2024-12-20,1,107.3007800000014
0,2024-12-23,0,-1.0
0,2024-12-24,1,56.84961000000112
0,2024-12-26,0,-1.0
0,2024-12-27,1,2.2011700000002747
0,2024-12-30,1,171.0
0,2024-12-31,1,69.75
0,2025-01-01,1,27.25
0,2025-01-02,1,44.84960999999748
0,2025-01-03,1,40.25
0,2025-01-06,0,-1.0
0,2025-01-07,1,212.20117000000027
0,2025-01-08,1,33.701170000000275
0,2025-01-09,1,195.3515600000028
0,2025-01-10,1,192.75
0,2025-01-13,1,75.09961000000112
0,2025-01-14,1,54.298829999999725
0,2025-01-15,1,32.800780000001396
0,2025-01-16,1,78.8007800000014
0,2025-01-17,1,4.650390000002517
0,2025-01-20,1,70.0507800000014
0,2025-01-21,1,35.69922000000224
0,2025-01-22,1,0.8007800000013958
0,2025-01-23,1,91.5
0,2025-01-24,0,-1.0
0,2025-01-27,1,55.5
0,2025-01-28,1,211.94922000000224
0,2025-01-29,1,147.79882999999973
0,2025-01-30,1,28.59961000000112
0,2025-01-31,1,48.048829999999725
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,1,87.6992199999986
0,2025-02-05,1,32.39843999999721
0,2025-02-06,1,240.6015600000028
0,2025-02-07,1,35.550780000001396
0,2025-02-10,0,-1.0
0,2025-02-11,1,315.9511700000003
0,2025-02-12,1,104.84961000000112
0,2025-02-13,1,80.40038999999888
0,2025-02-14,1,204.80077999999776
0,2025-02-17,0,-1.0
0,2025-02-18,1,76.09960999999748
0,2025-02-19,1,71.0
0,2025-02-20,1,189.04882999999973
0,2025-02-21,0,-1.0
0,2025-02-24,1,77.5
0,2025-02-25,1,183.5
0,2025-02-27,1,331.0
0,2025-02-28,1,202.20117000000027
0,2025-03-03,0,-1.0
0,2025-03-04,1,264.8007800000014
0,2025-03-05,1,156.8007800000014
0,2025-03-06,1,53.949219999998604
0,2025-03-07,1,161.4492199999986
0,2025-03-10,1,133.19922000000224
0,2025-03-11,0,-1.0
0,2025-03-12,1,78.05077999999776
0,2025-03-13,1,86.25
0,2025-03-17,1,227.40039000000252
0,2025-03-18,1,73.6992199999986
0,2025-03-19,1,177.44922000000224
0,2025-03-20,1,170.34961000000112
0,2025-03-21,1,145.84961000000112
0,2025-03-24,1,111.45117000000027
0,2025-03-25,1,122.25
0,2025-03-26,1,90.5
0,2025-03-27,1,132.59960999999748
0,2025-03-28,1,111.04882999999973
0,2025-04-01,0,-1.0
0,2025-04-02,1,282.1015600000028
0,2025-04-03,1,331.75
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,58.798829999999725
0,2025-04-16,1,207.4492199999986
