,date,accuracy,potential
0,2024-11-07,1,16.93993999999975
0,2024-11-08,1,37.109860000000026
0,2024-11-11,0,-1.0
0,2024-11-12,1,24.129879999999957
0,2024-11-13,1,16.239990000000034
0,2024-11-14,1,4.469970000000103
0,2024-11-18,0,-1.0
0,2024-11-19,1,19.83983999999964
0,2024-11-21,1,8.050050000000283
0,2024-11-22,0,-1.0
0,2024-11-25,1,51.03003000000035
0,2024-11-26,1,10.810059999999794
0,2024-11-27,1,26.959960000000137
0,2024-11-28,1,12.41016000000036
0,2024-11-29,1,16.84008999999969
0,2024-12-02,0,-1.0
0,2024-12-03,1,8.300049999999828
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,8.119869999999992
0,2024-12-10,1,6.73023000000012
0,2024-12-11,1,1.1398900000003778
0,2024-12-12,1,32.729979999999614
0,2024-12-13,1,16.510009999999966
0,2024-12-16,1,26.27001999999993
0,2024-12-17,0,-1.0
0,2024-12-18,1,42.36010999999962
0,2024-12-19,1,30.34985000000006
0,2024-12-20,1,26.23998999999958
0,2024-12-23,1,22.25
0,2024-12-24,1,5.149900000000343
0,2024-12-26,1,19.799799999999777
0,2024-12-27,1,7.660159999999905
0,2024-12-30,1,0.58983999999964
0,2024-12-31,1,9.209960000000137
0,2025-01-01,1,12.290040000000317
0,2025-01-02,1,5.140139999999974
0,2025-01-03,1,21.909909999999854
0,2025-01-06,1,6.98998999999958
0,2025-01-07,1,28.179929999999786
0,2025-01-08,1,11.580079999999725
0,2025-01-09,0,-1.0
0,2025-01-10,1,34.79004000000032
0,2025-01-13,1,49.56006000000025
0,2025-01-14,1,26.479979999999614
0,2025-01-15,0,-1.0
0,2025-01-16,1,2.050050000000283
0,2025-01-17,0,-1.0
0,2025-01-20,1,54.86986999999999
0,2025-01-21,1,39.30004999999983
0,2025-01-22,1,18.09985000000006
0,2025-01-23,1,21.09985000000006
0,2025-01-24,0,-1.0
0,2025-01-27,1,45.03003000000035
0,2025-01-28,0,-1.0
0,2025-01-29,1,31.57983000000013
0,2025-01-30,0,-1.0
0,2025-01-31,1,1.4299300000002404
0,2025-02-03,1,10.379879999999957
0,2025-02-04,0,-1.0
0,2025-02-05,1,16.41991999999982
0,2025-02-06,0,-1.0
0,2025-02-07,1,38.18018000000029
0,2025-02-10,0,-1.0
0,2025-02-11,1,67.61986999999999
0,2025-02-12,1,12.869869999999992
0,2025-02-13,1,47.62012000000004
0,2025-02-14,1,34.18993999999975
0,2025-02-17,1,51.16991999999982
0,2025-02-18,1,21.36986999999999
0,2025-02-19,1,4.620120000000043
0,2025-02-20,1,24.449949999999717
0,2025-02-21,1,53.27001999999993
0,2025-02-24,0,-1.0
0,2025-02-25,0,-1.0
0,2025-02-27,1,73.81006000000025
0,2025-02-28,1,19.689940000000206
0,2025-03-03,1,2.2302300000001196
0,2025-03-04,0,-1.0
0,2025-03-05,1,3.889889999999923
0,2025-03-06,1,6.179929999999786
0,2025-03-07,1,19.159909999999854
0,2025-03-10,1,10.899899999999889
0,2025-03-11,1,52.429929999999786
0,2025-03-12,1,1.8698699999999917
0,2025-03-13,1,16.929929999999786
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,0,-1.0
0,2025-03-20,0,-1.0
0,2025-03-21,1,40.52001999999993
0,2025-03-24,1,32.29003999999986
0,2025-03-25,1,9.709960000000137
0,2025-03-26,1,4.120120000000043
0,2025-03-27,1,3.0698200000001634
0,2025-03-28,0,-1.0
0,2025-04-01,1,19.969970000000103
0,2025-04-02,1,21.030029999999897
0,2025-04-03,1,34.27001999999993
0,2025-04-04,1,149.9301800000003
0,2025-04-07,0,-1.0
0,2025-04-08,1,32.41991999999982
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,5.479980000000069
0,2025-04-16,1,2.7800300000003517
