,date,accuracy,potential
0,2024-11-14,1,11.279909999999973
0,2024-11-15,1,0.5400399999998626
0,2024-11-18,1,4.900030000000015
0,2024-11-19,1,1.9199300000000221
0,2024-11-20,1,14.5
0,2024-11-21,1,12.60997999999995
0,2024-11-22,1,6.20995999999991
0,2024-11-25,1,25.0
0,2024-11-26,1,26.30993999999987
0,2024-11-27,1,5.270010000000184
0,2024-11-28,1,7.670039999999972
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,4.339969999999994
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,1,12.910030000000006
0,2024-12-09,1,9.050049999999828
0,2024-12-10,1,16.169930000000022
0,2024-12-11,0,-1.0
0,2024-12-12,0,-1.0
0,2024-12-13,1,20.280029999999897
0,2024-12-16,1,32.27001999999993
0,2024-12-17,1,14.289919999999938
0,2024-12-18,1,9.08996000000002
0,2024-12-19,0,-1.0
0,2024-12-20,1,6.270019999999931
0,2024-12-23,0,-1.0
0,2024-12-24,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,7.599970000000212
0,2024-12-31,1,18.059940000000097
0,2025-01-02,1,3.3099399999998695
0,2025-01-03,1,6.010009999999966
0,2025-01-06,1,12.89002000000005
0,2025-01-07,1,2.1899399999999787
0,2025-01-08,1,6.309940000000097
0,2025-01-09,1,4.95995999999991
0,2025-01-10,1,23.25
0,2025-01-13,1,15.899899999999889
0,2025-01-14,1,2.2099600000001374
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,4.119999999999891
0,2025-01-20,0,-1.0
0,2025-01-21,1,10.70995999999991
0,2025-01-22,1,6.910039999999981
0,2025-01-23,1,7.669920000000047
0,2025-01-24,1,3.589969999999994
0,2025-01-27,1,1.9500700000000961
0,2025-01-28,1,14.29004000000009
0,2025-01-29,1,3.2899199999999382
0,2025-01-30,1,12.920039999999972
0,2025-01-31,0,-1.0
0,2025-02-03,1,13.450070000000096
0,2025-02-04,0,-1.0
0,2025-02-05,0,-1.0
0,2025-02-06,0,-1.0
0,2025-02-07,1,18.080069999999978
0,2025-02-10,0,-1.0
0,2025-02-11,1,15.63000000000011
0,2025-02-12,1,17.590079999999944
0,2025-02-13,1,8.780029999999897
0,2025-02-14,1,8.229979999999841
0,2025-02-17,1,6.080069999999978
0,2025-02-18,0,-1.0
0,2025-02-19,1,8.5
0,2025-02-20,1,15.379999999999882
0,2025-02-21,1,6.350100000000111
0,2025-02-24,0,-1.0
0,2025-02-25,1,1.4199200000000474
0,2025-02-26,1,9.280030000000124
0,2025-02-27,1,1.0999799999999595
0,2025-02-28,0,-1.0
0,2025-03-03,0,-1.0
0,2025-03-04,1,30.32996000000003
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,19.529909999999973
0,2025-03-10,1,2.160030000000006
0,2025-03-11,0,-1.0
0,2025-03-12,1,3.569949999999835
0,2025-03-13,1,14.520010000000184
0,2025-03-14,1,2.7200900000000274
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,1.6500300000000152
0,2025-03-20,1,8.140010000000075
0,2025-03-21,1,5.959969999999885
0,2025-03-24,1,34.5
0,2025-03-25,1,0.5499300000001313
0,2025-03-26,1,9.319950000000063
0,2025-03-27,1,18.84008999999992
0,2025-03-28,1,3.339960000000019
0,2025-03-31,1,3.849970000000212
0,2025-04-01,1,6.020020000000159
0,2025-04-02,1,34.79993000000013
0,2025-04-03,1,46.39002000000005
0,2025-04-04,1,104.52001999999993
0,2025-04-07,1,33.79993000000013
0,2025-04-08,1,53.47998000000007
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-14,1,16.43993999999998
0,2025-04-15,1,17.949949999999944
0,2025-04-16,1,8.439949999999953
