,date,accuracy,potential
0,2024-11-08,1,121.0
0,2024-11-11,1,168.3007800000014
0,2024-11-12,1,18.400390000002517
0,2024-11-13,1,67.95117000000027
0,2024-11-14,1,65.19922000000224
0,2024-11-18,1,184.69922000000224
0,2024-11-19,1,325.8007800000014
0,2024-11-21,1,282.25
0,2024-11-22,1,598.9492199999986
0,2024-11-25,1,101.5
0,2024-11-26,1,66.39843999999721
0,2024-11-27,1,199.40038999999888
0,2024-11-28,1,109.25
0,2024-11-29,1,111.34960999999748
0,2024-12-02,1,206.40038999999888
0,2024-12-03,1,241.95117000000027
0,2024-12-04,1,145.65039000000252
0,2024-12-05,1,128.34960999999748
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,84.5
0,2024-12-11,1,21.150390000002517
0,2024-12-12,1,539.6503900000025
0,2024-12-13,1,92.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,204.0507800000014
0,2024-12-18,1,469.19922000000224
0,2024-12-19,1,24.14843999999721
0,2024-12-20,0,-1.0
0,2024-12-23,1,98.44922000000224
0,2024-12-24,1,191.0507800000014
0,2024-12-26,1,168.95117000000027
0,2024-12-27,1,57.25
0,2024-12-30,1,160.0507800000014
0,2024-12-31,1,4.0
0,2025-01-01,1,185.8007800000014
0,2025-01-02,1,141.84961000000112
0,2025-01-03,1,195.40039000000252
0,2025-01-06,1,158.09960999999748
0,2025-01-07,1,271.3496099999975
0,2025-01-08,0,-1.0
0,2025-01-09,1,369.0507800000014
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,1,193.4492199999986
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,65.15038999999888
0,2025-01-20,1,288.5
0,2025-01-21,1,150.75
0,2025-01-22,1,131.59961000000112
0,2025-01-23,1,62.451170000000275
0,2025-01-24,1,239.40038999999888
0,2025-01-27,0,-1.0
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,62.34960999999748
0,2025-01-31,1,69.0507800000014
0,2025-02-01,0,-1.0
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,39.199219999998604
0,2025-02-06,1,92.39843999999721
0,2025-02-07,1,328.2011700000003
0,2025-02-10,1,337.0
0,2025-02-11,1,299.75
0,2025-02-12,0,-1.0
0,2025-02-13,1,165.0
0,2025-02-14,1,230.70117000000027
0,2025-02-17,1,208.79882999999973
0,2025-02-18,1,81.5
0,2025-02-19,1,126.15039000000252
0,2025-02-20,1,70.8007800000014
0,2025-02-21,1,306.4511700000003
0,2025-02-24,1,142.8984399999972
0,2025-02-25,0,-1.0
0,2025-02-27,1,260.9003900000025
0,2025-02-28,1,147.45117000000027
0,2025-03-03,1,152.75
0,2025-03-04,1,95.59960999999748
0,2025-03-05,1,191.15038999999888
0,2025-03-06,1,59.0
0,2025-03-07,0,-1.0
0,2025-03-10,1,115.85156000000279
0,2025-03-11,1,19.548829999999725
0,2025-03-12,1,118.1992199999986
0,2025-03-13,1,336.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,54.0
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,186.5
0,2025-03-25,0,-1.0
0,2025-03-26,1,12.0
0,2025-03-27,1,63.699219999998604
0,2025-03-28,1,317.25
0,2025-04-01,1,178.45117000000027
0,2025-04-02,1,158.5
0,2025-04-03,1,103.75
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,31.699219999998604
0,2025-04-16,1,48.25
