,date,accuracy,potential
0,2024-11-11,1,4.540039999999863
0,2024-11-12,1,3.2700200000001587
0,2024-11-13,1,1.780029999999897
0,2024-11-14,1,24.96008000000006
0,2024-11-15,1,2.6099799999999505
0,2024-11-18,1,10.760010000000193
0,2024-11-19,1,3.3400799999999435
0,2024-11-20,1,28.760009999999966
0,2024-11-21,0,-1.0
0,2024-11-22,1,10.969970000000103
0,2024-11-25,1,5.560060000000021
0,2024-11-26,1,12.690059999999903
0,2024-11-27,1,11.560059999999794
0,2024-11-29,1,0.2700199999999313
0,2024-12-02,1,5.980099999999993
0,2024-12-03,1,15.10997999999995
0,2024-12-04,1,3.430059999999912
0,2024-12-05,0,-1.0
0,2024-12-06,1,9.089969999999994
0,2024-12-09,1,11.25
0,2024-12-10,0,-1.0
0,2024-12-11,1,1.6600399999999809
0,2024-12-12,1,11.949959999999919
0,2024-12-13,0,-1.0
0,2024-12-16,1,20.52001999999993
0,2024-12-17,1,4.760009999999966
0,2024-12-18,1,16.52001999999993
0,2024-12-19,1,10.979980000000069
0,2024-12-20,1,5.800040000000081
0,2024-12-23,1,2.3800099999998565
0,2024-12-24,1,8.729980000000069
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,0.6500300000000152
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,3.359980000000178
0,2025-01-07,1,16.12999999999988
0,2025-01-08,1,29.69995999999992
0,2025-01-10,0,-1.0
0,2025-01-13,1,25.05993999999987
0,2025-01-14,0,-1.0
0,2025-01-15,1,9.079960000000028
0,2025-01-16,1,1.5599399999998695
0,2025-01-17,0,-1.0
0,2025-01-21,1,53.2199700000001
0,2025-01-22,1,3.410030000000006
0,2025-01-23,1,12.179939999999988
0,2025-01-24,1,92.40992000000006
0,2025-01-27,1,12.439949999999953
0,2025-01-28,1,18.34997999999996
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,39.22998000000007
0,2025-02-03,1,8.379999999999882
0,2025-02-04,1,0.9699699999998757
0,2025-02-05,0,-1.0
0,2025-02-06,1,5.819950000000063
0,2025-02-07,0,-1.0
0,2025-02-10,1,17.659909999999854
0,2025-02-11,1,18.19995999999992
0,2025-02-12,0,-1.0
0,2025-02-13,1,5.609989999999925
0,2025-02-14,1,4.980099999999993
0,2025-02-18,1,0.95995999999991
0,2025-02-19,0,-1.0
0,2025-02-20,1,18.08008000000018
0,2025-02-21,1,17.810050000000047
0,2025-02-24,1,27.910030000000006
0,2025-02-25,1,1.9699699999998757
0,2025-02-26,1,9.880009999999857
0,2025-02-27,1,9.479980000000069
0,2025-02-28,1,19.49010999999996
0,2025-03-03,1,37.14001999999982
0,2025-03-04,1,2.8699900000001435
0,2025-03-05,0,-1.0
0,2025-03-06,1,17.449949999999944
0,2025-03-07,1,25.660030000000006
0,2025-03-10,1,8.349970000000212
0,2025-03-11,0,-1.0
0,2025-03-12,1,11.010000000000218
0,2025-03-13,0,-1.0
0,2025-03-14,1,0.8799999999998818
0,2025-03-17,1,4.0799500000000535
0,2025-03-18,1,32.229989999999816
0,2025-03-19,1,14.270019999999931
0,2025-03-20,1,20.78991999999994
0,2025-03-21,1,33.56995000000006
0,2025-03-24,1,9.400029999999788
0,2025-03-25,1,2.109989999999925
0,2025-03-26,1,20.510009999999966
0,2025-03-27,1,24.390019999999822
0,2025-03-28,1,34.15002000000004
0,2025-03-31,1,13.710080000000062
0,2025-04-01,1,15.429930000000013
0,2025-04-02,1,111.22002999999995
0,2025-04-03,1,91.92998999999998
0,2025-04-04,1,37.389959999999974
0,2025-04-07,1,40.07000000000005
0,2025-04-08,1,14.049980000000005
0,2025-04-09,1,49.70001000000002
0,2025-04-10,1,18.34997999999996
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,17.430049999999937
0,2025-04-16,1,1.9400000000000546
