,date,accuracy,potential
0,2024-11-11,1,5.589969999999994
0,2024-11-12,1,12.850100000000111
0,2024-11-13,0,-1.0
0,2024-11-14,1,16.989990000000034
0,2024-11-15,1,1.3900200000000495
0,2024-11-18,1,11.430049999999937
0,2024-11-19,1,8.469969999999876
0,2024-11-20,1,2.8299600000000282
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,4.510009999999966
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,15.890010000000075
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,16.55993999999987
0,2024-12-05,1,6.390009999999847
0,2024-12-06,0,-1.0
0,2024-12-09,1,7.25
0,2024-12-10,1,5.949949999999944
0,2024-12-11,0,-1.0
0,2024-12-12,1,3.0400399999998626
0,2024-12-13,1,5.640009999999847
0,2024-12-16,0,-1.0
0,2024-12-17,1,0.9499599999999191
0,2024-12-18,1,2.839960000000019
0,2024-12-19,1,10.6700400000002
0,2024-12-20,1,20.569940000000088
0,2024-12-23,1,1.4700900000000274
0,2024-12-24,1,5.260009999999966
0,2024-12-26,1,0.8799999999998818
0,2024-12-27,1,21.02001999999993
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,0.5
0,2025-01-06,1,3.0100099999999657
0,2025-01-07,1,8.210080000000062
0,2025-01-08,1,2.619999999999891
0,2025-01-10,1,7.739990000000034
0,2025-01-13,0,-1.0
0,2025-01-14,1,8.539920000000166
0,2025-01-15,1,7.010009999999966
0,2025-01-16,1,3.4799800000000687
0,2025-01-17,0,-1.0
0,2025-01-21,1,6.660030000000006
0,2025-01-22,1,4.569950000000063
0,2025-01-23,1,5.070069999999987
0,2025-01-24,0,-1.0
0,2025-01-27,1,15.319949999999835
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,22.569950000000063
0,2025-01-31,1,15.789919999999938
0,2025-02-03,1,3.2200900000000274
0,2025-02-04,1,0.8800100000000839
0,2025-02-05,1,7.839969999999994
0,2025-02-06,1,6.509890000000041
0,2025-02-07,1,2.7000699999998687
0,2025-02-10,1,11.79004000000009
0,2025-02-11,1,4.970090000000027
0,2025-02-12,1,2.0699500000000626
0,2025-02-13,1,5.8800099999998565
0,2025-02-14,1,2.910030000000006
0,2025-02-18,1,2.2600099999999657
0,2025-02-19,1,13.050040000000081
0,2025-02-20,0,-1.0
0,2025-02-21,1,4.449949999999944
0,2025-02-24,1,11.0
0,2025-02-25,1,4.520010000000184
0,2025-02-26,1,1.1500300000000152
0,2025-02-27,1,14.520020000000159
0,2025-02-28,1,5.339969999999994
0,2025-03-03,1,2.059940000000097
0,2025-03-04,1,6.3599799999999505
0,2025-03-05,1,6.140010000000075
0,2025-03-06,1,2.6700399999999718
0,2025-03-07,1,5.580079999999953
0,2025-03-10,1,10.5
0,2025-03-11,1,7.810060000000021
0,2025-03-12,1,7.569950000000063
0,2025-03-13,1,4.150030000000015
0,2025-03-14,1,3.1700399999999718
0,2025-03-17,1,4.189949999999953
0,2025-03-18,1,10.970090000000027
0,2025-03-19,0,-1.0
0,2025-03-20,1,8.819940000000088
0,2025-03-21,0,-1.0
0,2025-03-24,1,6.800050000000056
0,2025-03-25,0,-1.0
0,2025-03-26,1,1.030029999999897
0,2025-03-27,1,5.949950000000172
0,2025-03-28,0,-1.0
0,2025-03-31,1,6.389900000000125
0,2025-04-01,1,6.349969999999985
0,2025-04-02,1,8.430049999999937
0,2025-04-03,1,25.30993999999987
0,2025-04-04,1,61.510009999999966
0,2025-04-07,0,-1.0
0,2025-04-08,1,13.259890000000041
0,2025-04-09,1,7.579960000000028
0,2025-04-10,1,4.080069999999978
0,2025-04-11,0,-1.0
0,2025-04-14,1,0.5599399999998695
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
