,date,accuracy,potential
0,2024-11-11,1,16.789980000000014
0,2024-11-12,0,-1.0
0,2024-11-13,1,5.590029999999956
0,2024-11-14,1,7.340019999999981
0,2024-11-15,1,3.4199899999999843
0,2024-11-18,1,7.8900200000000495
0,2024-11-19,1,7.3900200000000495
0,2024-11-20,0,-1.0
0,2024-11-21,1,10.709960000000024
0,2024-11-22,1,1.0300300000000107
0,2024-11-25,1,2.6299999999999955
0,2024-11-26,1,1.1700400000000855
0,2024-11-27,0,-1.0
0,2024-11-29,0,-1.0
0,2024-12-02,1,1.699950000000058
0,2024-12-03,0,-1.0
0,2024-12-04,1,3.3700000000000045
0,2024-12-05,1,1.2399899999999207
0,2024-12-06,0,-1.0
0,2024-12-09,1,8.66998000000001
0,2024-12-10,1,10.63000999999997
0,2024-12-11,1,1.1400100000000748
0,2024-12-12,1,6.320009999999911
0,2024-12-13,1,1.4899900000000343
0,2024-12-16,0,-1.0
0,2024-12-17,1,7.190009999999916
0,2024-12-18,0,-1.0
0,2024-12-19,1,8.510009999999966
0,2024-12-20,1,7.719979999999964
0,2024-12-23,1,4.129940000000033
0,2024-12-24,1,6.769959999999969
0,2024-12-26,1,13.839969999999994
0,2024-12-27,1,19.509950000000003
0,2024-12-30,1,4.41998000000001
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,11.640019999999936
0,2025-01-07,0,-1.0
0,2025-01-08,0,-1.0
0,2025-01-10,1,18.659970000000044
0,2025-01-13,1,22.379999999999995
0,2025-01-14,0,-1.0
0,2025-01-15,1,0.8299599999999145
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,33.29004000000009
0,2025-01-22,1,8.390009999999961
0,2025-01-23,1,9.660030000000006
0,2025-01-24,1,97.29998999999998
0,2025-01-27,1,15.70001000000002
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,4.189999999999941
0,2025-01-31,1,35.099969999999985
0,2025-02-03,1,2.210019999999986
0,2025-02-04,1,7.220030000000065
0,2025-02-05,0,-1.0
0,2025-02-06,1,4.280020000000036
0,2025-02-07,0,-1.0
0,2025-02-10,1,11.58001999999999
0,2025-02-11,0,-1.0
0,2025-02-12,1,6.559999999999945
0,2025-02-13,1,5.4900499999999965
0,2025-02-14,0,-1.0
0,2025-02-18,1,6.359980000000064
0,2025-02-19,1,15.870000000000005
0,2025-02-20,1,18.979979999999955
0,2025-02-21,1,21.570010000000025
0,2025-02-24,1,20.039980000000014
0,2025-02-25,0,-1.0
0,2025-02-26,1,8.960019999999986
0,2025-02-27,1,7.190000000000055
0,2025-02-28,1,5.229979999999955
0,2025-03-03,1,31.89000999999996
0,2025-03-04,1,1.229979999999955
0,2025-03-05,1,27.60999000000004
0,2025-03-06,1,8.040039999999976
0,2025-03-07,0,-1.0
0,2025-03-10,1,4.5099500000000035
0,2025-03-11,1,24.379940000000033
0,2025-03-12,1,14.520019999999931
0,2025-03-13,0,-1.0
0,2025-03-14,1,0.7699600000000828
0,2025-03-17,1,15.14002000000005
0,2025-03-18,0,-1.0
0,2025-03-19,1,9.279970000000048
0,2025-03-20,1,15.82000000000005
0,2025-03-21,1,23.989990000000034
0,2025-03-24,1,10.32000000000005
0,2025-03-25,1,17.779969999999935
0,2025-03-26,1,18.460019999999986
0,2025-03-27,1,18.489990000000034
0,2025-03-28,1,25.96996999999999
0,2025-03-31,1,9.08996000000002
0,2025-04-01,1,12.359980000000064
0,2025-04-02,1,73.89002000000005
0,2025-04-03,1,72.60004000000004
0,2025-04-04,1,31.42999999999995
0,2025-04-07,0,-1.0
0,2025-04-08,1,13.600040000000035
0,2025-04-09,1,36.61005
0,2025-04-10,1,10.820010000000025
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,13.539980000000014
0,2025-04-16,1,8.550049999999942
