,date,accuracy,potential
0,2024-11-11,1,11.690000000000055
0,2024-11-12,1,2.8599799999999505
0,2024-11-13,1,8.659980000000019
0,2024-11-14,1,3.3900200000000495
0,2024-11-15,0,-1.0
0,2024-11-18,1,9.390009999999961
0,2024-11-19,1,9.66998000000001
0,2024-11-20,1,2.13000999999997
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,2.2600100000000793
0,2024-11-26,1,3.6299999999999955
0,2024-11-27,0,-1.0
0,2024-11-29,0,-1.0
0,2024-12-02,1,10.11999000000003
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,1,2.9199800000000096
0,2024-12-09,1,1.4099800000000187
0,2024-12-10,0,-1.0
0,2024-12-11,1,4.560059999999794
0,2024-12-12,1,3.6500200000000405
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,15.390010000000075
0,2024-12-18,1,6.819939999999974
0,2024-12-19,1,7.92005000000006
0,2024-12-20,1,8.489990000000034
0,2024-12-23,0,-1.0
0,2024-12-24,1,8.780030000000124
0,2024-12-26,1,20.849979999999846
0,2024-12-27,1,22.009950000000003
0,2024-12-30,1,0.30999999999994543
0,2024-12-31,1,20.319940000000088
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,12.599980000000073
0,2025-01-07,1,5.29998999999998
0,2025-01-08,1,15.51001000000008
0,2025-01-10,1,9.700009999999907
0,2025-01-13,0,-1.0
0,2025-01-14,1,20.82000999999991
0,2025-01-15,1,11.45001000000002
0,2025-01-16,0,-1.0
0,2025-01-17,1,12.0
0,2025-01-21,1,5.230040000000031
0,2025-01-22,1,7.680000000000064
0,2025-01-23,1,0.12999999999999545
0,2025-01-24,1,0.019959999999969114
0,2025-01-27,0,-1.0
0,2025-01-28,1,2.9700300000000652
0,2025-01-29,0,-1.0
0,2025-01-30,1,4.0
0,2025-01-31,1,30.940000000000055
0,2025-02-03,1,2.280020000000036
0,2025-02-04,1,10.48004000000003
0,2025-02-05,1,7.149959999999965
0,2025-02-06,1,3.2900300000000016
0,2025-02-07,1,1.140009999999961
0,2025-02-10,1,6.070009999999911
0,2025-02-11,1,4.45001000000002
0,2025-02-12,0,-1.0
0,2025-02-13,1,8.64996999999994
0,2025-02-14,1,4.63000999999997
0,2025-02-18,0,-1.0
0,2025-02-19,1,9.460019999999986
0,2025-02-20,1,4.70001000000002
0,2025-02-21,1,4.480040000000031
0,2025-02-24,1,15.180050000000051
0,2025-02-25,1,10.270009999999957
0,2025-02-26,1,7.1099799999999505
0,2025-02-27,0,-1.0
0,2025-02-28,0,-1.0
0,2025-03-03,1,16.120000000000005
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,3.2100299999999606
0,2025-03-07,1,9.320010000000025
0,2025-03-10,1,10.309999999999945
0,2025-03-11,1,9.409980000000019
0,2025-03-12,1,9.899959999999965
0,2025-03-13,0,-1.0
0,2025-03-14,1,4.25
0,2025-03-17,1,13.5399799999999
0,2025-03-18,1,5.789980000000014
0,2025-03-19,1,6.6400200000000495
0,2025-03-20,1,0.5600000000000591
0,2025-03-21,0,-1.0
0,2025-03-24,1,1.2199699999999893
0,2025-03-25,1,5.569940000000088
0,2025-03-26,1,17.18999999999994
0,2025-03-27,1,1.6799899999999752
0,2025-03-28,1,12.369989999999916
0,2025-03-31,1,1.6200000000000045
0,2025-04-01,1,13.290039999999976
0,2025-04-02,1,20.009950000000003
0,2025-04-03,1,34.92004999999995
0,2025-04-04,1,39.37005999999997
0,2025-04-07,1,21.22998000000007
0,2025-04-08,1,2.8500400000000354
0,2025-04-09,1,24.050050000000056
0,2025-04-10,1,8.01995999999997
0,2025-04-11,0,-1.0
0,2025-04-14,1,5.760010000000079
0,2025-04-15,1,4.309999999999945
0,2025-04-16,0,-1.0
