,date,accuracy,potential
0,2024-11-11,1,13.140139999999974
0,2024-11-12,1,8.670170000000326
0,2024-11-13,1,5.919920000000275
0,2024-11-14,1,40.29003999999986
0,2024-11-15,0,-1.0
0,2024-11-18,1,29.98998999999958
0,2024-11-19,1,32.03978999999981
0,2024-11-20,1,26.96996999999965
0,2024-11-21,0,-1.0
0,2024-11-22,1,35.86986999999999
0,2024-11-25,1,14.130130000000008
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,50.46021000000019
0,2024-12-02,1,16.02001999999993
0,2024-12-03,0,-1.0
0,2024-12-04,1,0.8498500000000604
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,1,28.280029999999897
0,2024-12-10,1,17.26976999999988
0,2024-12-11,0,-1.0
0,2024-12-12,1,15.729980000000069
0,2024-12-13,0,-1.0
0,2024-12-16,1,10.109860000000026
0,2024-12-17,0,-1.0
0,2024-12-18,0,-1.0
0,2024-12-19,1,15.879879999999957
0,2024-12-20,1,32.61986999999999
0,2024-12-23,0,-1.0
0,2024-12-24,1,13.020019999999931
0,2024-12-26,1,18.40014999999994
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,1,11.579829999999674
0,2025-01-03,1,11.630130000000008
0,2025-01-06,1,10.510009999999966
0,2025-01-07,1,16.94995000000017
0,2025-01-08,1,38.75
0,2025-01-10,1,23.81981999999971
0,2025-01-13,1,8.5
0,2025-01-14,0,-1.0
0,2025-01-15,1,16.729979999999614
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,2.550050000000283
0,2025-01-22,1,5.879880000000412
0,2025-01-23,1,13.15014999999994
0,2025-01-24,1,7.320070000000214
0,2025-01-27,1,2.1298799999999574
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,1.66991999999982
0,2025-01-31,1,43.80005000000028
0,2025-02-03,1,3.0700699999997596
0,2025-02-04,1,47.91991999999982
0,2025-02-05,0,-1.0
0,2025-02-06,1,14.449949999999717
0,2025-02-07,1,67.78978999999981
0,2025-02-10,1,21.46021000000019
0,2025-02-11,1,7.050050000000283
0,2025-02-12,0,-1.0
0,2025-02-13,1,10.75
0,2025-02-14,1,32.589840000000095
0,2025-02-18,1,48.28003000000035
0,2025-02-19,1,42.5
0,2025-02-20,1,9.110110000000077
0,2025-02-21,1,3.25
0,2025-02-24,1,13.659909999999854
0,2025-02-25,1,4.359860000000026
0,2025-02-26,0,-1.0
0,2025-02-27,1,6.380130000000008
0,2025-02-28,0,-1.0
0,2025-03-03,1,1.2900399999998626
0,2025-03-04,1,14.610110000000077
0,2025-03-05,1,65.05004999999983
0,2025-03-06,1,10.300049999999828
0,2025-03-07,1,47.44994999999972
0,2025-03-10,1,46.67016999999987
0,2025-03-11,1,62.69994999999972
0,2025-03-12,1,3.3100600000002487
0,2025-03-13,0,-1.0
0,2025-03-14,1,6.140139999999974
0,2025-03-17,1,42.990240000000085
0,2025-03-18,0,-1.0
0,2025-03-19,1,4.780030000000352
0,2025-03-20,1,55.93993999999975
0,2025-03-21,1,27.700200000000223
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,7.179929999999786
0,2025-03-27,1,59.63013000000001
0,2025-03-28,0,-1.0
0,2025-03-31,1,18.060059999999794
0,2025-04-01,1,16.879879999999957
0,2025-04-02,1,102.17016999999987
0,2025-04-03,0,-1.0
0,2025-04-04,1,125.47998000000007
0,2025-04-07,0,-1.0
0,2025-04-08,1,36.43018000000029
0,2025-04-09,1,87.30005000000028
0,2025-04-10,1,44.5300299999999
0,2025-04-11,0,-1.0
0,2025-04-14,1,11.719970000000103
0,2025-04-15,1,1.030029999999897
0,2025-04-16,1,11.890139999999974
