,date,accuracy,potential
0,2024-11-11,1,18.57996000000003
0,2024-11-12,1,6.769959999999969
0,2024-11-13,1,7.6500200000000405
0,2024-11-14,1,8.279970000000048
0,2024-11-15,1,0.7399900000000343
0,2024-11-18,1,8.730039999999917
0,2024-11-19,0,-1.0
0,2024-11-20,1,3.159979999999905
0,2024-11-21,1,9.78003000000001
0,2024-11-22,0,-1.0
0,2024-11-25,1,4.260009999999966
0,2024-11-26,1,3.340029999999956
0,2024-11-27,0,-1.0
0,2024-11-29,1,7.0999799999999595
0,2024-12-02,1,6.039980000000014
0,2024-12-03,1,13.28003000000001
0,2024-12-04,1,13.190009999999916
0,2024-12-05,1,7.38000999999997
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,5.560000000000059
0,2024-12-11,1,23.490049999999997
0,2024-12-12,1,12.140019999999936
0,2024-12-13,1,4.519960000000026
0,2024-12-16,0,-1.0
0,2024-12-17,0,-1.0
0,2024-12-18,1,8.260009999999966
0,2024-12-19,1,5.110009999999988
0,2024-12-20,1,1.020020000000045
0,2024-12-23,1,1.9099999999999682
0,2024-12-24,1,6.28000000000003
0,2024-12-26,1,4.019990000000007
0,2024-12-27,0,-1.0
0,2024-12-30,0,-1.0
0,2024-12-31,1,0.20999000000000478
0,2025-01-02,1,7.660000000000025
0,2025-01-03,0,-1.0
0,2025-01-06,1,9.089999999999975
0,2025-01-07,0,-1.0
0,2025-01-08,1,5.310000000000002
0,2025-01-10,1,1.4600200000000427
0,2025-01-13,1,2.61002000000002
0,2025-01-14,0,-1.0
0,2025-01-15,1,1.3000099999999861
0,2025-01-16,1,6.4899899999999775
0,2025-01-17,0,-1.0
0,2025-01-21,1,6.869999999999948
0,2025-01-22,1,0.63997999999998
0,2025-01-23,1,0.7399899999999775
0,2025-01-24,1,5.060000000000002
0,2025-01-27,1,1.1699899999999843
0,2025-01-28,1,7.79998999999998
0,2025-01-29,1,3.109980000000064
0,2025-01-30,1,0.25
0,2025-01-31,1,9.430059999999912
0,2025-02-03,1,3.2900399999999763
0,2025-02-04,1,0.22002999999995154
0,2025-02-05,0,-1.0
0,2025-02-06,1,0.5600000000000591
0,2025-02-07,0,-1.0
0,2025-02-10,1,10.739990000000034
0,2025-02-11,0,-1.0
0,2025-02-12,1,3.229979999999955
0,2025-02-13,1,0.7299800000000687
0,2025-02-14,1,0.33001999999999043
0,2025-02-18,1,8.280020000000036
0,2025-02-19,1,10.909970000000044
0,2025-02-20,1,7.129940000000033
0,2025-02-21,1,1.2200300000000652
0,2025-02-24,1,9.260009999999966
0,2025-02-25,0,-1.0
0,2025-02-26,1,0.7100199999999859
0,2025-02-27,1,5.6700400000000855
0,2025-02-28,1,1.8599799999999505
0,2025-03-03,1,28.39002000000005
0,2025-03-04,1,12.40002000000004
0,2025-03-05,1,6.809990000000084
0,2025-03-06,1,5.510009999999966
0,2025-03-07,1,26.04998999999998
0,2025-03-10,1,1.980009999999993
0,2025-03-11,0,-1.0
0,2025-03-12,1,0.7299899999999866
0,2025-03-13,0,-1.0
0,2025-03-14,0,-1.0
0,2025-03-17,1,4.349980000000016
0,2025-03-18,1,3.0300300000000107
0,2025-03-19,1,6.04998999999998
0,2025-03-20,1,19.13997999999998
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,1,0.5
0,2025-03-26,1,8.28997000000004
0,2025-03-27,1,14.130010000000027
0,2025-03-28,1,16.789979999999957
0,2025-03-31,1,6.029999999999973
0,2025-04-01,1,0.5499899999999798
0,2025-04-02,0,-1.0
0,2025-04-03,1,40.31
0,2025-04-04,1,23.659979999999962
0,2025-04-07,0,-1.0
0,2025-04-08,1,4.140010000000018
0,2025-04-09,1,24.800010000000043
0,2025-04-10,1,9.219979999999964
0,2025-04-11,0,-1.0
0,2025-04-14,1,1.8399900000000002
0,2025-04-15,1,3.859989999999982
0,2025-04-16,0,-1.0
