,date,accuracy,potential
0,2024-11-14,1,18.990240000000085
0,2024-11-15,1,23.759769999999662
0,2024-11-18,1,42.0
0,2024-11-19,1,1.8896499999991647
0,2024-11-20,1,19.100100000000566
0,2024-11-21,0,-1.0
0,2024-11-22,1,36.40038999999888
0,2024-11-25,1,45.08983999999873
0,2024-11-26,1,7.669919999998456
0,2024-11-27,1,25.320310000000973
0,2024-11-28,1,12.55956999999944
0,2024-11-29,1,12.08983999999873
0,2024-12-02,0,-1.0
0,2024-12-03,1,42.64940999999999
0,2024-12-04,1,11.439449999999852
0,2024-12-05,1,18.099609999999302
0,2024-12-06,1,42.28026999999929
0,2024-12-09,0,-1.0
0,2024-12-10,1,30.020510000000286
0,2024-12-11,1,19.40038999999888
0,2024-12-12,1,0.7900399999998626
0,2024-12-13,1,22.68065999999999
0,2024-12-16,1,66.48047000000042
0,2024-12-17,0,-1.0
0,2024-12-18,0,-1.0
0,2024-12-19,0,-1.0
0,2024-12-20,1,4.620119999999588
0,2024-12-23,1,39.92041000000063
0,2024-12-24,1,24.910150000000613
0,2024-12-27,0,-1.0
0,2024-12-30,1,22.85985999999957
0,2024-12-31,1,32.73047000000042
0,2025-01-02,1,7.3701099999998405
0,2025-01-03,0,-1.0
0,2025-01-06,1,52.4399399999993
0,2025-01-07,1,20.71972999999889
0,2025-01-08,1,1.4404299999987416
0,2025-01-09,1,18.479489999999714
0,2025-01-10,0,-1.0
0,2025-01-13,1,13.810550000000148
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,92.30077999999958
0,2025-01-17,1,27.27930000000015
0,2025-01-20,0,-1.0
0,2025-01-21,1,32.43946000000142
0,2025-01-22,1,12.379880000000412
0,2025-01-23,1,35.25
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,20.049809999998615
0,2025-01-29,1,23.31934000000001
0,2025-01-30,1,42.740239999999176
0,2025-01-31,1,131.88965000000098
0,2025-02-03,1,49.51954000000114
0,2025-02-04,1,4.070309999999154
0,2025-02-05,0,-1.0
0,2025-02-06,1,26.900390000000698
0,2025-02-07,1,47.8496099999993
0,2025-02-10,1,14.429689999999027
0,2025-02-11,1,6.449219999998604
0,2025-02-12,1,78.0898500000003
0,2025-02-13,1,27.570310000000973
0,2025-02-14,0,-1.0
0,2025-02-17,1,16.449220000000423
0,2025-02-18,1,0.6894499999998516
0,2025-02-19,1,25.58983999999873
0,2025-02-20,1,13.270510000000286
0,2025-02-21,1,5.5595699999994395
0,2025-02-24,1,27.0
0,2025-02-25,1,69.95019999999931
0,2025-02-26,1,17.519529999999577
0,2025-02-27,1,34.070309999999154
0,2025-02-28,0,-1.0
0,2025-03-03,1,66.99023000000125
0,2025-03-04,1,82.05956999999944
0,2025-03-05,1,99.64062000000013
0,2025-03-06,1,60.64940999999999
0,2025-03-07,1,53.79003999999986
0,2025-03-10,1,2.980469999998604
0,2025-03-11,1,61.12988000000041
0,2025-03-12,1,15.549800000000687
0,2025-03-13,0,-1.0
0,2025-03-14,1,18.59082000000126
0,2025-03-17,0,-1.0
0,2025-03-18,1,39.68065999999999
0,2025-03-19,1,29.980469999998604
0,2025-03-20,1,52.51074000000153
0,2025-03-21,1,13.299810000000434
0,2025-03-24,0,-1.0
0,2025-03-25,1,21.50977000000057
0,2025-03-26,0,-1.0
0,2025-03-27,1,18.28027000000111
0,2025-03-28,1,96.97949000000153
0,2025-03-31,1,86.61035000000084
0,2025-04-01,1,57.79003999999986
0,2025-04-02,1,115.1201200000014
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,222.60009999999966
0,2025-04-09,0,-1.0
0,2025-04-10,1,57.700190000000475
0,2025-04-11,1,171.04003999999986
0,2025-04-14,1,100.85936999999922
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
