,date,accuracy,potential
0,2024-11-13,0,-1
0,2024-11-14,1,13.079960000000028
0,2024-11-15,1,12.119990000000143
0,2024-11-18,1,16.619990000000143
0,2024-11-19,1,7.429989999999975
0,2024-11-20,1,0.020019999999931315
0,2024-11-21,0,-1
0,2024-11-22,1,3.1498999999998887
0,2024-11-25,1,6.139900000000125
0,2024-11-26,1,1.2600099999999657
0,2024-11-27,1,0.9000200000000405
0,2024-11-28,1,4.860110000000077
0,2024-11-29,1,2.1400200000000495
0,2024-12-02,1,0.19005999999990308
0,2024-12-03,1,2.2700200000001587
0,2024-12-04,0,-1
0,2024-12-05,1,4.1099799999999505
0,2024-12-06,1,6.760000000000218
0,2024-12-09,1,7.790039999999863
0,2024-12-10,1,4.329960000000028
0,2024-12-11,1,6.4000200000000405
0,2024-12-12,1,1.190059999999903
0,2024-12-13,1,5.309940000000097
0,2024-12-16,1,4.689949999999953
0,2024-12-17,1,8.300040000000081
0,2024-12-18,1,10.190059999999903
0,2024-12-19,1,2.6199900000001435
0,2024-12-20,1,8.880009999999857
0,2024-12-23,1,7.060050000000047
0,2024-12-24,1,3.8099399999998695
0,2024-12-27,1,17.62000000000012
0,2024-12-30,1,1.4500700000000961
0,2024-12-31,1,2.5
0,2025-01-02,1,8.160030000000006
0,2025-01-03,1,11.70995999999991
0,2025-01-06,0,-1
0,2025-01-07,1,3.5400300000001153
0,2025-01-08,1,4.0900799999999435
0,2025-01-09,1,14.689940000000206
0,2025-01-10,1,2.1500200000000405
0,2025-01-13,1,15.769960000000083
0,2025-01-14,0,-1
0,2025-01-15,0,-1
0,2025-01-16,1,0.3800099999999702
0,2025-01-17,1,2.8499799999999595
0,2025-01-20,1,3.880000000000109
0,2025-01-21,1,3.150030000000015
0,2025-01-22,0,-1
0,2025-01-23,1,1.9500699999998687
0,2025-01-24,1,2.839969999999994
0,2025-01-27,0,-1
0,2025-01-28,1,9.86999999999989
0,2025-01-29,1,2.660030000000006
0,2025-01-30,1,6.479979999999841
0,2025-01-31,1,25.54998999999998
0,2025-02-03,0,-1
0,2025-02-04,1,3.1700499999999465
0,2025-02-05,1,5.130000000000109
0,2025-02-06,1,0.32996000000002823
0,2025-02-07,1,4.840019999999981
0,2025-02-10,1,6.679989999999975
0,2025-02-11,1,5.0
0,2025-02-12,1,8.649960000000078
0,2025-02-13,1,0.929930000000013
0,2025-02-14,1,10.400019999999927
0,2025-02-18,1,8.83001999999999
0,2025-02-19,1,12.130009999999857
0,2025-02-20,1,1.7799700000000485
0,2025-02-21,1,16.580020000000104
0,2025-02-24,1,0.8800000000001091
0,2025-02-25,1,6.410039999999981
0,2025-02-26,0,-1
0,2025-02-27,1,3.1299999999998818
0,2025-02-28,1,6.080079999999953
0,2025-03-03,1,12.520019999999931
0,2025-03-04,1,1.2999299999999039
0,2025-03-05,1,1.4299399999999878
0,2025-03-06,1,4.529909999999973
0,2025-03-07,1,9.439949999999953
0,2025-03-10,1,11.130009999999857
0,2025-03-11,1,14.88000999999997
0,2025-03-12,1,17.429930000000013
0,2025-03-13,0,-1
0,2025-03-14,1,7.080010000000016
0,2025-03-17,1,15.0
0,2025-03-18,0,-1
0,2025-03-19,1,3.7600099999999657
0,2025-03-20,1,7.979980000000069
0,2025-03-21,0,-1
0,2025-03-24,0,-1
0,2025-03-25,1,3.9300499999999374
0,2025-03-26,0,-1
0,2025-03-27,1,3.660030000000006
0,2025-03-28,1,5.810060000000021
0,2025-03-31,1,12.829950000000053
0,2025-04-01,1,8.58996000000002
0,2025-04-02,1,15.65002000000004
0,2025-04-03,1,23.459960000000137
0,2025-04-04,1,31.210079999999834
0,2025-04-07,0,-1
0,2025-04-08,1,5.180049999999937
0,2025-04-09,1,16.359989999999925
0,2025-04-10,1,0.19006000000013046
0,2025-04-11,0,-1
0,2025-04-14,0,-1
0,2025-04-15,1,3.880010000000084
0,2025-04-16,1,0.41003999999998086
