,date,accuracy,potential
0,2024-11-14,1,39.89940999999999
0,2024-11-15,1,14.700199999999313
0,2024-11-18,1,182.90039999999863
0,2024-11-19,1,132.10059
0,2024-11-20,1,65.40039999999863
0,2024-11-21,1,100.89940999999999
0,2024-11-22,1,106.0
0,2024-11-25,1,185.0
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-28,1,89.4003900000007
0,2024-11-29,1,41.4003900000007
0,2024-12-02,1,139.0996099999993
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,1,32.5
0,2024-12-06,1,2.699219999998604
0,2024-12-09,1,2.599609999999302
0,2024-12-10,1,133.40039999999863
0,2024-12-11,1,4.299800000000687
0,2024-12-12,0,-1.0
0,2024-12-13,1,27.10059000000001
0,2024-12-16,1,114.5996099999993
0,2024-12-17,1,22.89940999999999
0,2024-12-18,0,-1.0
0,2024-12-19,1,142.5
0,2024-12-20,1,81.0
0,2024-12-23,0,-1.0
0,2024-12-24,1,28.900390000000698
0,2024-12-27,1,44.799809999998615
0,2024-12-30,1,11.599600000001374
0,2024-12-31,1,89.0
0,2025-01-02,1,31.099609999999302
0,2025-01-03,1,51.400399999998626
0,2025-01-06,1,82.39940999999999
0,2025-01-07,1,6.100590000000011
0,2025-01-08,1,26.299809999998615
0,2025-01-09,1,124.0996099999993
0,2025-01-10,1,60.79980000000069
0,2025-01-13,0,-1.0
0,2025-01-14,1,49.299809999998615
0,2025-01-15,1,44.5
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-20,1,104.5
0,2025-01-21,1,27.10059000000001
0,2025-01-22,1,73.5
0,2025-01-23,1,1.399409999999989
0,2025-01-24,1,6.799800000000687
0,2025-01-27,1,42.0
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,1,0.7001900000013848
0,2025-01-31,1,254.7001999999993
0,2025-02-03,1,29.200199999999313
0,2025-02-04,0,-1.0
0,2025-02-05,0,-1.0
0,2025-02-06,1,38.0996099999993
0,2025-02-07,0,-1.0
0,2025-02-10,1,16.10059000000001
0,2025-02-11,0,-1.0
0,2025-02-12,1,75.79980999999862
0,2025-02-13,1,60.200190000001385
0,2025-02-14,1,78.39940999999999
0,2025-02-17,0,-1.0
0,2025-02-18,1,48.200190000001385
0,2025-02-19,0,-1.0
0,2025-02-20,1,54.9003900000007
0,2025-02-21,1,13.0
0,2025-02-24,1,40.39940999999999
0,2025-02-25,1,130.89941
0,2025-02-26,1,119.90039999999863
0,2025-02-27,1,41.5
0,2025-02-28,1,73.90039999999863
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,65.39940999999999
0,2025-03-06,1,134.0
0,2025-03-07,1,202.0
0,2025-03-10,1,49.5
0,2025-03-11,1,18.599600000001374
0,2025-03-12,1,54.0996099999993
0,2025-03-13,1,27.099609999999302
0,2025-03-14,0,-1.0
0,2025-03-17,1,165.4003900000007
0,2025-03-18,1,90.79980000000069
0,2025-03-19,1,183.10059
0,2025-03-20,1,106.6992199999986
0,2025-03-21,1,137.1992199999986
0,2025-03-24,0,-1.0
0,2025-03-25,1,99.20019000000138
0,2025-03-26,0,-1.0
0,2025-03-27,1,134.39941
0,2025-03-28,1,187.0996099999993
0,2025-03-31,0,-1.0
0,2025-04-01,1,38.0
0,2025-04-02,1,226.4003900000007
0,2025-04-03,0,-1.0
0,2025-04-04,0,-1.0
0,2025-04-07,1,70.0
0,2025-04-08,1,411.9003999999986
0,2025-04-09,0,-1.0
0,2025-04-10,1,173.10059
0,2025-04-11,1,264.89941
0,2025-04-14,0,-1.0
0,2025-04-15,1,120.0
0,2025-04-16,1,85.0
