,date,accuracy,potential
0,2024-11-08,1,119.60156000000279
0,2024-11-11,1,129.55078000000503
0,2024-11-12,1,101.39844000000448
0,2024-11-13,1,355.0507800000014
0,2024-11-14,1,285.0
0,2024-11-18,0,-1.0
0,2024-11-19,0,-1.0
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,129.90234000000055
0,2024-11-26,1,259.3515599999955
0,2024-11-27,1,34.550780000005034
0,2024-11-28,1,24.75
0,2024-11-29,1,261.09765999999945
0,2024-12-02,0,-1.0
0,2024-12-03,1,317.4531200000056
0,2024-12-04,1,188.8984399999972
0,2024-12-05,0,-1.0
0,2024-12-06,1,168.79687999999442
0,2024-12-09,1,142.1484399999972
0,2024-12-10,1,20.85156000000279
0,2024-12-11,1,96.35156000000279
0,2024-12-12,1,560.1484400000045
0,2024-12-13,0,-1.0
0,2024-12-16,1,111.80078000000503
0,2024-12-17,1,245.40234000000055
0,2024-12-18,1,610.3476599999995
0,2024-12-19,1,240.15234000000055
0,2024-12-20,1,182.5
0,2024-12-23,1,146.40234000000055
0,2024-12-24,0,-1.0
0,2024-12-26,0,-1.0
0,2024-12-27,1,0.4492199999949662
0,2024-12-30,1,735.8496100000011
0,2024-12-31,1,82.94922000000224
0,2025-01-01,1,178.75
0,2025-01-02,1,139.94922000000224
0,2025-01-03,1,274.55077999999776
0,2025-01-06,1,56.59960999999748
0,2025-01-07,1,674.2988299999997
0,2025-01-08,1,244.8007800000014
0,2025-01-09,1,404.1503900000025
0,2025-01-10,1,529.4511700000003
0,2025-01-13,1,38.80077999999776
0,2025-01-14,1,205.59961000000112
0,2025-01-15,0,-1.0
0,2025-01-16,1,280.1503900000025
0,2025-01-17,1,242.30077999999776
0,2025-01-20,1,748.4003899999989
0,2025-01-21,0,-1.0
0,2025-01-22,0,-1.0
0,2025-01-23,1,285.6503899999989
0,2025-01-24,1,719.1992199999986
0,2025-01-27,1,504.1503899999989
0,2025-01-28,0,-1.0
0,2025-01-29,1,147.15038999999888
0,2025-01-30,0,-1.0
0,2025-01-31,1,109.3007800000014
0,2025-02-01,1,521.6503899999989
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,128.1992199999986
0,2025-02-06,1,48.048829999999725
0,2025-02-07,1,364.5
0,2025-02-10,1,425.4003900000025
0,2025-02-11,0,-1.0
0,2025-02-12,1,50.34960999999748
0,2025-02-13,1,452.0
0,2025-02-14,0,-1.0
0,2025-02-17,1,92.84961000000112
0,2025-02-18,1,210.6015600000028
0,2025-02-19,1,154.3007800000014
0,2025-02-20,1,410.3496099999975
0,2025-02-21,1,380.9492199999986
0,2025-02-24,1,110.89843999999721
0,2025-02-25,1,20.75
0,2025-02-27,1,730.9003899999989
0,2025-02-28,1,221.70117000000027
0,2025-03-03,1,464.3496099999975
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,1,108.8007800000014
0,2025-03-07,1,77.5
0,2025-03-10,1,307.55077999999776
0,2025-03-11,1,365.0
0,2025-03-12,1,67.05077999999776
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,182.6992199999986
0,2025-03-19,1,302.4511700000003
0,2025-03-20,1,98.34960999999748
0,2025-03-21,1,0.5488299999997253
0,2025-03-24,1,210.9492199999986
0,2025-03-25,1,55.298829999999725
0,2025-03-26,1,157.40039000000252
0,2025-03-27,1,15.800779999997758
0,2025-03-28,1,185.59960999999748
0,2025-04-01,1,216.25
0,2025-04-02,1,346.5996099999975
0,2025-04-03,1,930.4003899999989
0,2025-04-04,1,1511.8007800000014
0,2025-04-07,0,-1.0
0,2025-04-08,1,529.9492199999986
0,2025-04-09,0,-1.0
0,2025-04-11,1,654.9003900000025
0,2025-04-15,1,93.14843999999721
0,2025-04-16,1,188.94922000000224
