,date,accuracy,potential
0,2024-11-08,1,209.5
0,2024-11-11,1,317.19921999999497
0,2024-11-12,1,204.44922000000224
0,2024-11-13,1,103.44922000000224
0,2024-11-14,1,110.80077999999776
0,2024-11-18,1,534.699219999995
0,2024-11-19,1,667.5507799999978
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,188.29687999999442
0,2024-11-26,1,134.30077999999776
0,2024-11-27,1,104.60155999999552
0,2024-11-28,1,198.8984399999972
0,2024-11-29,0,-1.0
0,2024-12-02,0,-1.0
0,2024-12-03,1,407.15234000000055
0,2024-12-04,1,255.1484399999972
0,2024-12-05,1,417.69922000000224
0,2024-12-06,1,95.94922000000224
0,2024-12-09,1,169.05077999999776
0,2024-12-10,1,297.55077999999776
0,2024-12-11,1,140.19922000000224
0,2024-12-12,0,-1.0
0,2024-12-13,1,205.44921999999497
0,2024-12-16,1,13.101560000002792
0,2024-12-17,1,27.0
0,2024-12-18,1,908.050780000005
0,2024-12-19,0,-1.0
0,2024-12-20,1,521.0507799999978
0,2024-12-23,1,163.0
0,2024-12-24,1,108.89843999999721
0,2024-12-26,0,-1.0
0,2024-12-27,1,163.05077999999776
0,2024-12-30,1,236.44921999999497
0,2024-12-31,1,365.90234000000055
0,2025-01-01,1,61.101559999995516
0,2025-01-02,1,501.90234000000055
0,2025-01-03,0,-1.0
0,2025-01-06,1,386.65234000000055
0,2025-01-07,1,543.550780000005
0,2025-01-08,1,392.0
0,2025-01-09,0,-1.0
0,2025-01-10,1,654.75
0,2025-01-13,0,-1.0
0,2025-01-14,1,224.70312000000558
0,2025-01-15,1,628.0468799999944
0,2025-01-16,0,-1.0
0,2025-01-17,1,504.0
0,2025-01-20,1,72.30078000000503
0,2025-01-21,1,128.3515600000028
0,2025-01-22,1,263.5
0,2025-01-23,1,110.64843999999721
0,2025-01-24,1,470.19921999999497
0,2025-01-27,1,832.9492200000022
0,2025-01-28,1,19.25
0,2025-01-29,1,184.75
0,2025-01-30,1,349.44922000000224
0,2025-01-31,1,113.89843999999721
0,2025-02-01,0,-1.0
0,2025-02-03,1,769.9023400000005
0,2025-02-04,1,357.65234000000055
0,2025-02-05,1,85.04687999999442
0,2025-02-06,1,379.25
0,2025-02-07,1,493.4531200000056
0,2025-02-10,1,475.75
0,2025-02-11,1,609.1015600000028
0,2025-02-12,1,291.44922000000224
0,2025-02-13,1,325.0
0,2025-02-14,1,517.3007799999978
0,2025-02-17,1,408.6484399999972
0,2025-02-18,1,550.6523400000005
0,2025-02-19,1,340.5
0,2025-02-20,1,508.5
0,2025-02-21,1,620.1015600000028
0,2025-02-24,1,173.94922000000224
0,2025-02-25,0,-1.0
0,2025-02-27,0,-1.0
0,2025-02-28,1,388.5
0,2025-03-03,1,179.6484399999972
0,2025-03-04,0,-1.0
0,2025-03-05,1,193.6484399999972
0,2025-03-06,1,97.75
0,2025-03-07,1,88.0
0,2025-03-10,0,-1.0
0,2025-03-11,0,-1.0
0,2025-03-12,0,-1.0
0,2025-03-13,1,398.8515600000028
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,292.44921999999497
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,284.94921999999497
0,2025-03-25,0,-1.0
0,2025-03-26,1,451.30077999999776
0,2025-03-27,1,271.3984399999972
0,2025-03-28,1,119.10156000000279
0,2025-04-01,1,384.1484399999972
0,2025-04-02,1,350.6484399999972
0,2025-04-03,1,95.0
0,2025-04-04,0,-1.0
0,2025-04-07,0,-1.0
0,2025-04-08,1,510.40234000000055
0,2025-04-09,1,769.8515600000028
0,2025-04-11,1,1247.6484400000045
0,2025-04-15,1,394.0
0,2025-04-16,0,-1.0
