,date,accuracy,potential
0,2024-11-08,1,102.44922000000224
0,2024-11-11,1,112.90038999999888
0,2024-11-12,1,161.59960999999748
0,2024-11-13,1,58.298829999999725
0,2024-11-14,1,192.29882999999973
0,2024-11-18,1,280.8007800000014
0,2024-11-19,1,202.79882999999973
0,2024-11-21,0,-1.0
0,2024-11-22,1,451.5507800000014
0,2024-11-25,1,83.34960999999748
0,2024-11-26,1,41.25
0,2024-11-27,1,64.5
0,2024-11-28,1,160.95117000000027
0,2024-11-29,1,112.80077999999776
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,88.40039000000252
0,2024-12-05,1,33.14843999999721
0,2024-12-06,1,88.40038999999888
0,2024-12-09,1,47.90038999999888
0,2024-12-10,1,29.75
0,2024-12-11,1,42.59961000000112
0,2024-12-12,0,-1.0
0,2024-12-13,0,-1.0
0,2024-12-16,1,259.3007800000014
0,2024-12-17,1,90.40039000000252
0,2024-12-18,0,-1.0
0,2024-12-19,1,146.25
0,2024-12-20,0,-1.0
0,2024-12-23,1,34.548829999999725
0,2024-12-24,1,5.449220000002242
0,2024-12-26,0,-1.0
0,2024-12-27,0,-1.0
0,2024-12-30,1,196.59960999999748
0,2024-12-31,1,6.548829999999725
0,2025-01-01,1,130.8515600000028
0,2025-01-02,1,12.5
0,2025-01-03,1,131.15038999999888
0,2025-01-06,1,164.05077999999776
0,2025-01-07,1,139.84961000000112
0,2025-01-08,1,123.64843999999721
0,2025-01-09,1,31.75
0,2025-01-10,1,253.94922000000224
0,2025-01-13,0,-1.0
0,2025-01-14,1,83.75
0,2025-01-15,0,-1.0
0,2025-01-16,1,176.20117000000027
0,2025-01-17,1,24.59961000000112
0,2025-01-20,1,79.14843999999721
0,2025-01-21,0,-1.0
0,2025-01-22,1,61.449219999998604
0,2025-01-23,1,71.95117000000027
0,2025-01-24,0,-1.0
0,2025-01-27,0,-1.0
0,2025-01-28,1,123.75
0,2025-01-29,1,31.64843999999721
0,2025-01-30,1,122.65039000000252
0,2025-01-31,1,46.75
0,2025-02-01,0,-1.0
0,2025-02-03,1,212.70117000000027
0,2025-02-04,1,89.10156000000279
0,2025-02-05,1,46.5
0,2025-02-06,1,133.20117000000027
0,2025-02-07,0,-1.0
0,2025-02-10,1,118.95117000000027
0,2025-02-11,0,-1.0
0,2025-02-12,1,56.800780000001396
0,2025-02-13,1,106.90039000000252
0,2025-02-14,1,160.65038999999888
0,2025-02-17,1,145.1992199999986
0,2025-02-18,1,99.80077999999776
0,2025-02-19,0,-1.0
0,2025-02-20,1,13.599610000001121
0,2025-02-21,0,-1.0
0,2025-02-24,1,9.050780000001396
0,2025-02-25,1,0.8515600000027916
0,2025-02-27,1,284.1503900000025
0,2025-02-28,1,112.40038999999888
0,2025-03-03,0,-1.0
0,2025-03-04,0,-1.0
0,2025-03-05,1,93.40038999999888
0,2025-03-06,1,90.3007800000014
0,2025-03-07,1,30.798829999999725
0,2025-03-10,1,4.050779999997758
0,2025-03-11,1,108.75
0,2025-03-12,1,5.25
0,2025-03-13,0,-1.0
0,2025-03-17,1,258.1503899999989
0,2025-03-18,1,36.90038999999888
0,2025-03-19,1,157.34960999999748
0,2025-03-20,1,9.099609999997483
0,2025-03-21,1,232.65039000000252
0,2025-03-24,1,191.5
0,2025-03-25,0,-1.0
0,2025-03-26,1,23.5
0,2025-03-27,1,90.90039000000252
0,2025-03-28,1,213.55077999999776
0,2025-04-01,1,103.95117000000027
0,2025-04-02,1,138.6015600000028
0,2025-04-03,1,318.44922000000224
0,2025-04-04,1,1037.2011700000003
0,2025-04-07,0,-1.0
0,2025-04-08,0,-1.0
0,2025-04-09,0,-1.0
0,2025-04-11,1,485.1503899999989
0,2025-04-15,1,23.75
0,2025-04-16,0,-1.0
