,date,accuracy,potential
0,2024-10-30,0,-1
0,2024-10-31,1,29.50977000000057
0,2024-11-03,1,7.810549999998329
0,2024-11-04,1,39.578129999998055
0,2024-11-05,1,2.8593799999980547
0,2024-11-10,1,6.230470000002242
0,2024-11-11,0,-1
0,2024-11-12,0,-1
0,2024-11-13,0,-1
0,2024-11-14,1,53.140629999998055
0,2024-11-17,0,-1
0,2024-11-18,1,31.88086000000112
0,2024-11-19,1,9.701170000000275
0,2024-11-20,1,8.070309999999154
0,2024-11-21,0,-1
0,2024-11-24,1,65.46094000000085
0,2024-11-25,1,100.48047000000224
0,2024-11-26,1,50.919920000000275
0,2024-11-27,0,-1
0,2024-11-28,1,35.298829999999725
0,2024-12-01,1,28.800780000001396
0,2024-12-02,1,40.71875
0,2024-12-03,1,26.18945000000167
0,2024-12-04,0,-1
0,2024-12-05,1,21.09961000000112
0,2024-12-08,0,-1
0,2024-12-09,1,15.271479999999428
0,2024-12-10,1,88.18163999999888
0,2024-12-11,1,5.148440000000846
0,2024-12-12,0,-1
0,2024-12-15,1,13.460940000000846
0,2024-12-16,1,9.490239999999176
0,2024-12-17,0,-1
0,2024-12-22,1,86.99022999999943
0,2024-12-23,1,26.03125
0,2024-12-24,1,31.71875
0,2024-12-25,1,38.94922000000224
0,2024-12-26,0,-1
0,2024-12-29,1,2.2890600000027916
0,2024-12-30,1,25.11913999999888
0,2024-12-31,0,-1
0,2025-01-05,1,42.009769999996934
0,2025-01-06,1,50.08984000000055
0,2025-01-07,1,74.75977000000057
0,2025-01-08,1,29.720710000001418
0,2025-01-09,1,4.460940000000846
0,2025-01-12,1,10.810550000001967
0,2025-01-13,0,-1
0,2025-01-14,1,76.40038999999888
0,2025-01-15,1,35.390629999998055
0,2025-01-16,1,15.289059999999154
0,2025-01-19,0,-1
0,2025-01-20,1,33.259760000000824
0,2025-01-21,1,16.849609999997483
0,2025-01-22,1,14.53125
0,2025-01-23,0,-1
0,2025-01-26,1,73.35937000000195
0,2025-01-27,1,12.041010000000824
0,2025-01-28,1,91.58007999999973
0,2025-01-29,1,84.67186999999831
0,2025-01-30,0,-1
0,2025-02-02,0,-1
0,2025-02-03,1,125.80077999999776
0,2025-02-04,1,77.58006999999998
0,2025-02-05,1,94.68945999999778
0,2025-02-06,1,85.86913999999888
0,2025-02-10,0,-1
0,2025-02-12,1,50.98047000000224
0,2025-02-13,1,64.41993000000002
0,2025-02-16,1,57.25196000000142
0,2025-02-17,0,-1
0,2025-02-18,1,32.578129999998055
0,2025-02-19,1,82.15038999999888
0,2025-02-20,1,13.369139999998879
0,2025-02-23,1,16.83983999999691
0,2025-02-24,1,181.8788999999997
0,2025-02-25,0,-1
0,2025-02-26,1,54.18944999999803
0,2025-02-27,1,151.37890999999945
0,2025-03-03,1,113.29882999999973
0,2025-03-04,1,102.6679699999986
0,2025-03-05,0,-1
0,2025-03-06,1,45.55077999999776
0,2025-03-09,1,78.17968999999721
0,2025-03-10,1,98.50780999999915
0,2025-03-11,1,23.390620000001945
0,2025-03-12,0,-1
0,2025-03-13,0,-1
0,2025-03-16,1,3.8593699999983073
0,2025-03-17,1,21.63086000000112
0,2025-03-18,1,58.09961000000112
0,2025-03-19,1,1.8593799999980547
0,2025-03-20,1,25.56054999999833
0,2025-03-23,0,-1
0,2025-03-24,1,87.5195300000014
0,2025-03-25,1,53.0
0,2025-03-26,1,9.208979999999428
0,2025-03-27,1,1354.4804699999986
0,2025-04-06,1,483.5097700000006
0,2025-04-07,0,-1
0,2025-04-08,1,221.83007999999973
0,2025-04-09,1,636.671870000002
0,2025-04-10,1,37.39843999999721
0,2025-04-13,0,-1
0,2025-04-14,1,2.630860000001121
0,2025-04-15,1,94.22851000000082
0,2025-04-16,1,102.66015999999945
