,date,accuracy,potential
0,2024-11-11,1,43.92041000000063
0,2024-11-12,1,43.970219999999244
0,2024-11-13,0,-1.0
0,2024-11-14,1,18.85985999999957
0,2024-11-17,1,29.389650000000074
0,2024-11-18,0,-1.0
0,2024-11-19,1,12.629880000000412
0,2024-11-20,1,12.540039999999863
0,2024-11-21,0,-1.0
0,2024-11-24,1,21.10008999999991
0,2024-11-25,1,44.659670000000006
0,2024-11-26,1,37.04979999999978
0,2024-11-27,1,38.79003999999986
0,2024-11-28,0,-1.0
0,2024-12-01,0,-1.0
0,2024-12-02,1,31.39013000000068
0,2024-12-03,1,5.9702199999992445
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-08,1,11.030280000000857
0,2024-12-09,1,9.569819999999709
0,2024-12-10,1,35.70996000000014
0,2024-12-11,1,11.930170000000544
0,2024-12-12,1,18.220220000000154
0,2024-12-15,1,38.54003999999986
0,2024-12-16,0,-1.0
0,2024-12-17,1,22.319820000000618
0,2024-12-18,1,44.97997999999916
0,2024-12-19,0,-1.0
0,2024-12-22,1,45.95996000000014
0,2024-12-23,1,0.16016000000036001
0,2024-12-24,1,12.709960000000137
0,2024-12-25,1,1.7602600000000166
0,2024-12-26,1,24.709960000000137
0,2024-12-29,1,18.290030000000115
0,2024-12-30,1,28.82958999999937
0,2024-12-31,0,-1.0
0,2025-01-01,1,14.97997999999916
0,2025-01-02,0,-1.0
0,2025-01-05,1,22.370119999999588
0,2025-01-06,1,22.209960000000137
0,2025-01-07,1,16.299799999999777
0,2025-01-08,1,16.459969999999885
0,2025-01-09,0,-1.0
0,2025-01-12,1,9.300290000000132
0,2025-01-13,1,8.600100000000566
0,2025-01-14,0,-1.0
0,2025-01-15,1,32.77002000000084
0,2025-01-16,1,37.62988999999925
0,2025-01-19,1,42.270010000000184
0,2025-01-20,1,33.60008999999991
0,2025-01-21,0,-1.0
0,2025-01-22,1,17.679689999999937
0,2025-01-23,0,-1.0
0,2025-01-26,1,15.770010000000184
0,2025-01-27,1,11.700199999999313
0,2025-01-28,1,54.75
0,2025-01-29,1,9.230460000000676
0,2025-01-30,0,-1.0
0,2025-02-02,1,8.92968000000019
0,2025-02-03,0,-1.0
0,2025-02-04,1,1.2299800000000687
0,2025-02-05,1,21.06981999999971
0,2025-02-06,0,-1.0
0,2025-02-10,1,29.810059999999794
0,2025-02-11,1,6.709960000000137
0,2025-02-12,1,32.12988000000041
0,2025-02-13,0,-1.0
0,2025-02-16,1,53.81981999999971
0,2025-02-17,1,38.87988000000041
0,2025-02-18,1,81.18018000000029
0,2025-02-19,1,17.649900000000343
0,2025-02-20,1,6.129879999999503
0,2025-02-24,1,98.47998000000007
0,2025-02-25,1,9.709969999999885
0,2025-02-26,0,-1.0
0,2025-02-27,1,49.430170000000544
0,2025-03-02,1,8.320310000000063
0,2025-03-03,1,104.73973999999998
0,2025-03-04,1,37.759759999999915
0,2025-03-05,1,97.85008999999991
0,2025-03-06,1,30.17041000000063
0,2025-03-09,1,51.62011000000075
0,2025-03-10,1,139.7802700000002
0,2025-03-11,0,-1.0
0,2025-03-12,1,3.310059999999794
0,2025-03-13,0,-1.0
0,2025-03-16,0,-1.0
0,2025-03-17,1,71.91016000000036
0,2025-03-18,1,21.16015999999945
0,2025-03-19,1,11.899900000000343
0,2025-03-20,1,20.959960000000137
0,2025-03-23,1,34.430170000000544
0,2025-03-24,1,29.27001999999993
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,65.4399399999993
0,2025-04-03,1,353.9399400000002
0,2025-04-06,1,243.54980999999952
0,2025-04-07,0,-1.0
0,2025-04-08,1,75.30029000000013
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-13,1,14.979980000000069
0,2025-04-14,0,-1.0
0,2025-04-15,1,12.770019999999931
0,2025-04-16,1,38.10986999999932
