,date,accuracy,potential
0,2024-11-11,1,15.489990000000034
0,2024-11-12,1,41.33008000000018
0,2024-11-13,1,6.159909999999854
0,2024-11-14,1,12.739990000000034
0,2024-11-17,1,1.8300799999997253
0,2024-11-18,1,31.47998000000007
0,2024-11-19,1,22.52001999999993
0,2024-11-20,0,-1.0
0,2024-11-21,1,10.33008000000018
0,2024-11-24,1,7.309809999999743
0,2024-11-25,1,1.5798299999996743
0,2024-11-26,1,26.11986999999999
0,2024-11-27,1,10.159910000000309
0,2024-11-28,0,-1.0
0,2024-12-01,1,6.139889999999923
0,2024-12-02,1,2.109860000000026
0,2024-12-03,1,21.41991999999982
0,2024-12-04,1,1.469970000000103
0,2024-12-05,1,10.279779999999846
0,2024-12-08,1,8.430179999999837
0,2024-12-09,1,5.430180000000291
0,2024-12-10,1,21.040040000000317
0,2024-12-11,1,21.879879999999957
0,2024-12-12,1,5.640139999999974
0,2024-12-15,1,8.83983999999964
0,2024-12-16,1,15.699949999999717
0,2024-12-17,1,33.80004999999983
0,2024-12-18,1,15.300050000000283
0,2024-12-19,1,24.25
0,2024-12-22,1,17.399900000000343
0,2024-12-23,1,17.729979999999614
0,2024-12-24,1,7.100100000000111
0,2024-12-25,1,6.639889999999923
0,2024-12-26,1,22.89989999999989
0,2024-12-29,1,11.92993000000024
0,2024-12-30,1,9.33008000000018
0,2024-12-31,1,11.060059999999794
0,2025-01-01,1,19.179929999999786
0,2025-01-02,1,3.2897899999998117
0,2025-01-05,1,3.5
0,2025-01-06,1,11.989990000000034
0,2025-01-07,1,6.42993000000024
0,2025-01-08,1,18.429929999999786
0,2025-01-09,1,9.899899999999889
0,2025-01-12,1,13.610110000000077
0,2025-01-13,1,7.489990000000034
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,1,5.170170000000326
0,2025-01-19,0,-1.0
0,2025-01-20,1,16.80004999999983
0,2025-01-21,1,4.91991999999982
0,2025-01-22,1,12.90014999999994
0,2025-01-23,0,-1.0
0,2025-01-26,1,270.15966999999955
0,2025-01-27,1,13.57031999999981
0,2025-01-28,1,97.1503900000007
0,2025-01-29,1,13.229980000000069
0,2025-01-30,1,16.06981999999971
0,2025-02-02,1,33.54980000000023
0,2025-02-03,1,5.479980000000069
0,2025-02-04,1,8.879879999999957
0,2025-02-05,1,5.189940000000206
0,2025-02-06,1,28.27001999999993
0,2025-02-10,1,29.75
0,2025-02-11,1,53.83983999999964
0,2025-02-12,1,13.100100000000566
0,2025-02-13,0,-1.0
0,2025-02-16,1,19.60986000000048
0,2025-02-17,1,14.5
0,2025-02-18,1,18.799799999999777
0,2025-02-19,1,10.770019999999931
0,2025-02-20,1,47.54979999999978
0,2025-02-24,1,40.23999000000049
0,2025-02-25,1,27.14014000000043
0,2025-02-26,1,5.060050000000047
0,2025-02-27,0,-1.0
0,2025-03-02,1,45.990240000000085
0,2025-03-03,1,31.919930000000022
0,2025-03-04,1,20.620119999999588
0,2025-03-05,1,67.98023000000057
0,2025-03-06,1,6.520019999999931
0,2025-03-09,1,30.15014999999994
0,2025-03-10,1,85.51000999999997
0,2025-03-11,1,5.180180000000291
0,2025-03-12,0,-1.0
0,2025-03-13,0,-1.0
0,2025-03-16,1,8.759759999999915
0,2025-03-17,1,26.689940000000206
0,2025-03-18,1,34.529779999999846
0,2025-03-19,1,65.84034000000065
0,2025-03-20,1,11.309579999999187
0,2025-03-23,1,8.589849999999387
0,2025-03-24,1,63.95996000000014
0,2025-03-25,1,9.450200000000223
0,2025-03-26,0,-1.0
0,2025-03-27,1,73.5
0,2025-04-03,1,258.75976999999966
0,2025-04-06,1,269.73999000000003
0,2025-04-07,0,-1.0
0,2025-04-08,1,33.82983000000013
0,2025-04-09,0,-1.0
0,2025-04-10,0,-1.0
0,2025-04-13,1,4.520019999999931
0,2025-04-14,0,-1.0
0,2025-04-15,1,11.559809999999743
0,2025-04-16,1,32.83008000000018
