,date,accuracy,potential
0,2024-11-14,1,29.330079999999725
0,2024-11-15,1,67.34961000000112
0,2024-11-18,1,153.07031000000097
0,2024-11-19,0,-1.0
0,2024-11-20,1,228.0996099999993
0,2024-11-21,1,40.12012000000141
0,2024-11-22,1,106.77050999999847
0,2024-11-25,1,61.139649999999165
0,2024-11-26,1,16.089850000000297
0,2024-11-27,1,56.71973000000071
0,2024-11-28,1,26.0
0,2024-11-29,1,329.08008000000154
0,2024-12-02,1,92.75
0,2024-12-03,1,31.360349999999016
0,2024-12-04,0,-1.0
0,2024-12-05,1,526.7900399999999
0,2024-12-06,1,75.38965000000098
0,2024-12-09,1,67.6601499999997
0,2024-12-10,1,164.0
0,2024-12-11,1,95.12010999999984
0,2024-12-12,1,217.40038999999888
0,2024-12-13,1,55.37012000000141
0,2024-12-16,1,151.2695300000014
0,2024-12-17,1,35.320309999999154
0,2024-12-18,1,172.79003999999986
0,2024-12-19,1,46.54003999999986
0,2024-12-20,0,-1.0
0,2024-12-23,1,18.66016000000127
0,2024-12-24,1,548.2001899999996
0,2024-12-25,1,389.2304700000004
0,2024-12-26,1,41.68065999999999
0,2024-12-27,1,104.69043000000056
0,2024-12-30,1,10.919930000000022
0,2024-12-31,0,-1.0
0,2025-01-02,1,217.2705100000003
0,2025-01-03,1,117.25977000000057
0,2025-01-06,1,44.02049999999872
0,2025-01-07,1,43.91015000000152
0,2025-01-08,1,5.740239999999176
0,2025-01-09,1,32.75977000000057
0,2025-01-10,1,150.8798799999986
0,2025-01-13,0,-1.0
0,2025-01-14,1,76.24022999999943
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,174.33007999999973
0,2025-01-20,1,25.620119999999588
0,2025-01-21,0,-1.0
0,2025-01-22,1,58.12012000000141
0,2025-01-23,1,215.1298800000004
0,2025-01-24,1,233.00976999999875
0,2025-01-27,0,-1.0
0,2025-01-28,1,56.330079999999725
0,2025-01-29,1,181.3701200000014
0,2025-01-30,0,-1.0
0,2025-01-31,1,743.5400399999999
0,2025-02-03,1,224.69043000000056
0,2025-02-04,1,140.91016000000127
0,2025-02-05,1,132.62010999999984
0,2025-02-06,1,311.56934
0,2025-02-07,1,22.089850000000297
0,2025-02-10,1,33.03027000000111
0,2025-02-11,1,109.67969000000085
0,2025-02-12,0,-1.0
0,2025-02-13,1,100.13964999999916
0,2025-02-14,1,123.79003999999986
0,2025-02-17,1,89.62988000000041
0,2025-02-18,1,51.259759999999005
0,2025-02-19,0,-1.0
0,2025-02-20,1,4.959969999999885
0,2025-02-21,1,32.51074000000153
0,2025-02-24,1,13.040039999999863
0,2025-02-25,1,58.110350000000835
0,2025-02-26,1,53.54003999999986
0,2025-02-27,1,62.60059000000001
0,2025-02-28,0,-1.0
0,2025-03-03,1,108.27051000000029
0,2025-03-04,1,2.2099600000001374
0,2025-03-05,1,142.69042999999874
0,2025-03-06,1,21.37010999999984
0,2025-03-07,1,74.36034999999902
0,2025-03-10,1,209.62109000000055
0,2025-03-11,0,-1.0
0,2025-03-12,1,122.14062999999805
0,2025-03-13,1,27.40038999999888
0,2025-03-14,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,1548.7001999999993
0,2025-03-19,1,881.2392599999985
0,2025-03-20,1,1312.179689999999
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,1,336.99023000000125
0,2025-03-26,1,86.22069999999985
0,2025-03-27,1,352.30956999999944
0,2025-03-28,1,157.9794899999997
0,2025-04-02,0,-1.0
0,2025-04-03,1,95.41015999999945
0,2025-04-04,1,485.43944999999985
0,2025-04-07,0,-1.0
0,2025-04-08,1,173.08984999999848
0,2025-04-09,0,-1.0
0,2025-04-10,1,309.14941
0,2025-04-11,1,217.19042999999874
0,2025-04-14,1,52.5
0,2025-04-15,1,210.8203199999989
0,2025-04-16,0,-1.0
