,date,accuracy,potential
0,2024-11-08,1,729.5546800000011
0,2024-11-11,1,392.7968700000056
0,2024-11-12,1,1374.7265599999955
0,2024-11-13,1,456.3828099999955
0,2024-11-14,1,242.19530999999552
0,2024-11-18,0,-1.0
0,2024-11-19,1,893.6523399999933
0,2024-11-21,1,106.23437000000558
0,2024-11-22,0,-1.0
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-28,1,0.03125
0,2024-11-29,1,382.49218999998993
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,351.40625
0,2024-12-05,1,210.74218999998993
0,2024-12-06,0,-1.0
0,2024-12-09,1,335.625
0,2024-12-10,1,124.2421800000011
0,2024-12-11,1,482.7578099999955
0,2024-12-12,1,1084.5703099999955
0,2024-12-13,0,-1.0
0,2024-12-16,1,252.40625999998883
0,2024-12-17,1,886.5312599999888
0,2024-12-18,1,1048.921880000009
0,2024-12-19,1,545.1718700000056
0,2024-12-20,1,490.9843799999944
0,2024-12-23,1,228.85155999999552
0,2024-12-24,1,190.1796800000011
0,2024-12-26,1,139.82812999999442
0,2024-12-27,1,453.4453199999989
0,2024-12-30,1,210.10937999999442
0,2024-12-31,1,58.70311999999103
0,2025-01-01,1,310.3515599999955
0,2025-01-02,1,282.7421900000045
0,2025-01-03,1,576.8125
0,2025-01-06,1,65.25
0,2025-01-07,1,816.7031299999944
0,2025-01-08,1,802.6015599999955
0,2025-01-09,1,1349.007819999999
0,2025-01-10,1,1021.6406200000056
0,2025-01-13,0,-1.0
0,2025-01-14,1,136.71094000000448
0,2025-01-15,0,-1.0
0,2025-01-16,1,218.6406199999983
0,2025-01-17,1,55.46875
0,2025-01-20,1,933.113280000005
0,2025-01-21,1,1077.0820299999978
0,2025-01-22,1,403.76952999999776
0,2025-01-23,1,884.3007799999978
0,2025-01-24,1,1673.46875
0,2025-01-27,1,1925.4296899999972
0,2025-01-28,0,-1.0
0,2025-01-29,0,-1.0
0,2025-01-30,0,-1.0
0,2025-01-31,1,135.26172000000224
0,2025-02-01,1,4806.578119999998
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,286.5390699999989
0,2025-02-06,1,830.3789099999995
0,2025-02-07,1,591.8593800000017
0,2025-02-10,1,1068.0390599999955
0,2025-02-11,1,1515.21875
0,2025-02-12,1,317.2734400000045
0,2025-02-13,1,971.7070299999978
0,2025-02-14,1,1196.8125
0,2025-02-17,1,839.9296900000045
0,2025-02-18,1,180.80078000000503
0,2025-02-19,1,251.04297000000224
0,2025-02-20,1,381.3906300000017
0,2025-02-21,1,802.3789099999995
0,2025-02-24,1,360.1015600000028
0,2025-02-25,1,660.332030000005
0,2025-02-27,1,950.6328100000028
0,2025-02-28,1,581.3007900000011
0,2025-03-03,1,583.7812600000034
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,367.2265599999955
0,2025-03-10,1,548.0195299999978
0,2025-03-11,1,649.0898400000005
0,2025-03-12,1,50.84765999999945
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,486.6406300000017
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,371.1406300000017
0,2025-03-25,1,221.29297000000224
0,2025-03-26,1,174.90234000000055
0,2025-03-27,0,-1.0
0,2025-03-28,1,455.26953000000503
0,2025-04-01,1,747.3593699999983
0,2025-04-02,1,251.3125
0,2025-04-03,1,2188.8593800000017
0,2025-04-04,1,4030.78125
0,2025-04-07,0,-1.0
0,2025-04-08,1,1058.4101500000033
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,121.62109999999666
0,2025-04-16,1,648.9804700000022
