,date,accuracy,potential
0,2024-11-07,1,203.5859300000011
0,2024-11-08,1,1821.1093799999944
0,2024-11-11,1,206.8203199999989
0,2024-11-12,1,3003.4609400000045
0,2024-11-13,0,-1.0
0,2024-11-14,1,1659.945319999999
0,2024-11-18,0,-1.0
0,2024-11-19,1,954.9609399999899
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,59.507809999995516
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-28,0,-1.0
0,2024-11-29,1,622.8671900000045
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,0,-1.0
0,2024-12-05,0,-1.0
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,0,-1.0
0,2024-12-11,1,904.8984300000011
0,2024-12-12,1,764.9140599999955
0,2024-12-13,0,-1.0
0,2024-12-16,0,-1.0
0,2024-12-17,1,1382.390619999991
0,2024-12-18,1,1002.6796900000045
0,2024-12-19,0,-1.0
0,2024-12-20,1,1352.742180000001
0,2024-12-23,1,263.1484300000011
0,2024-12-24,1,30.226560000010068
0,2024-12-26,1,291.7265699999989
0,2024-12-27,1,985.1640699999989
0,2024-12-30,1,446.34375
0,2024-12-31,0,-1.0
0,2025-01-01,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,177.61718999998993
0,2025-01-06,1,624.6875
0,2025-01-07,1,1775.9296900000045
0,2025-01-08,1,181.0625
0,2025-01-09,1,2948.953130000009
0,2025-01-10,1,492.0625
0,2025-01-13,1,270.6484400000045
0,2025-01-14,1,437.10156000001007
0,2025-01-15,0,-1.0
0,2025-01-16,1,617.3828100000101
0,2025-01-17,0,-1.0
0,2025-01-20,0,-1.0
0,2025-01-21,1,646.6796900000045
0,2025-01-22,1,1536.820319999999
0,2025-01-23,1,2912.71875
0,2025-01-24,1,6270.7578099999955
0,2025-01-27,1,3921.078119999991
0,2025-01-28,1,753.7578099999955
0,2025-01-29,0,-1.0
0,2025-01-30,1,861.0703099999955
0,2025-01-31,1,99.47655999999552
0,2025-02-03,0,-1.0
0,2025-02-04,1,286.6015699999989
0,2025-02-05,1,1086.66406000001
0,2025-02-06,1,536.7578199999989
0,2025-02-07,1,2991.171880000009
0,2025-02-10,1,4183.03906000001
0,2025-02-11,1,2490.40625
0,2025-02-12,0,-1.0
0,2025-02-13,1,1104.882819999999
0,2025-02-14,1,1573.5859400000045
0,2025-02-17,1,2512.6328099999955
0,2025-02-18,0,-1.0
0,2025-02-19,1,307.9765599999955
0,2025-02-20,0,-1.0
0,2025-02-21,1,1965.1718799999944
0,2025-02-24,0,-1.0
0,2025-02-25,1,310.74218999998993
0,2025-02-27,1,2736.7656299999944
0,2025-02-28,1,2128.4531200000056
0,2025-03-03,1,1045.1875
0,2025-03-04,1,407.0
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,413.7343700000056
0,2025-03-10,1,1684.7265599999955
0,2025-03-11,1,809.2890599999955
0,2025-03-12,1,210.28125
0,2025-03-13,1,443.71875999998883
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,0,-1.0
0,2025-03-20,1,41.80468999998993
0,2025-03-21,0,-1.0
0,2025-03-24,1,548.6171900000045
0,2025-03-25,1,649.0546800000011
0,2025-03-26,1,568.2890699999989
0,2025-03-27,0,-1.0
0,2025-03-28,1,238.2265699999989
0,2025-04-01,0,-1.0
0,2025-04-02,1,804.265630000009
0,2025-04-03,1,1479.6562599999888
0,2025-04-04,1,5162.5
0,2025-04-07,0,-1.0
0,2025-04-08,1,1429.4609400000045
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,1,324.15625
