,date,accuracy,potential
0,2024-11-08,1,60.5996099999993
0,2024-11-11,1,14.700190000001385
0,2024-11-12,1,76.54980999999862
0,2024-11-13,1,45.39940999999999
0,2024-11-14,1,82.35059000000001
0,2024-11-18,0,-1.0
0,2024-11-19,1,130.7001999999993
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,65.20019000000138
0,2024-11-26,1,34.450190000001385
0,2024-11-27,1,44.050780000001396
0,2024-11-28,1,7.599600000001374
0,2024-11-29,1,46.45019999999931
0,2024-12-02,0,-1.0
0,2024-12-03,1,17.549800000000687
0,2024-12-04,1,34.299809999998615
0,2024-12-05,0,-1.0
0,2024-12-06,1,1.7001999999993131
0,2024-12-09,1,45.5
0,2024-12-10,0,-1.0
0,2024-12-11,1,48.79980000000069
0,2024-12-12,1,99.1503900000007
0,2024-12-13,1,40.25
0,2024-12-16,1,95.04980999999862
0,2024-12-17,1,43.04980000000069
0,2024-12-18,1,106.20019999999931
0,2024-12-19,1,36.95019999999931
0,2024-12-20,0,-1.0
0,2024-12-23,1,26.39940999999999
0,2024-12-24,1,7.900390000000698
0,2024-12-26,0,-1.0
0,2024-12-27,1,36.200190000001385
0,2024-12-30,1,75.75
0,2024-12-31,1,33.45019999999931
0,2025-01-01,1,19.299809999998615
0,2025-01-02,1,34.599600000001374
0,2025-01-03,1,71.75
0,2025-01-06,0,-1.0
0,2025-01-07,1,23.400399999998626
0,2025-01-08,1,79.5996099999993
0,2025-01-09,1,140.0
0,2025-01-10,1,128.04979999999978
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,1,11.199219999998604
0,2025-01-20,1,89.0
0,2025-01-21,1,45.9003900000007
0,2025-01-22,1,31.550780000001396
0,2025-01-23,1,46.75
0,2025-01-24,1,148.4999999999991
0,2025-01-27,1,77.20020000000022
0,2025-01-28,1,27.700200000000223
0,2025-01-29,1,2.6504000000004453
0,2025-01-30,1,13.850590000000011
0,2025-01-31,1,12.25
0,2025-02-01,1,193.29979999999978
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,32.45019999999931
0,2025-02-06,1,20.450199999999313
0,2025-02-07,1,90.45019999999931
0,2025-02-10,1,59.850100000000566
0,2025-02-11,1,163.69970000000012
0,2025-02-12,1,25.299799999999777
0,2025-02-13,1,74.39990000000034
0,2025-02-14,1,99.20019999999931
0,2025-02-17,1,73.95020000000022
0,2025-02-18,1,32.44970000000012
0,2025-02-19,1,11.399900000000343
0,2025-02-20,1,44.20020000000022
0,2025-02-21,1,69.0
0,2025-02-24,1,27.649899999999434
0,2025-02-25,1,36.85009999999966
0,2025-02-27,1,100.0
0,2025-02-28,1,79.54979999999978
0,2025-03-03,1,95.70020000000022
0,2025-03-04,0,-1.0
0,2025-03-05,0,-1.0
0,2025-03-06,0,-1.0
0,2025-03-07,1,14.30029999999988
0,2025-03-10,1,51.70020000000022
0,2025-03-11,1,36.350100000000566
0,2025-03-12,1,4.049800000000687
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,0,-1.0
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,26.800780000001396
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,19.599609999999302
0,2025-03-28,1,28.450199999999313
0,2025-04-01,1,44.900399999998626
0,2025-04-02,1,39.300780000001396
0,2025-04-03,1,194.5996099999993
0,2025-04-04,1,410.99950999999965
0,2025-04-07,0,-1.0
0,2025-04-08,1,62.20020000000022
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,24.10059000000001
0,2025-04-16,1,44.700190000001385
