,date,accuracy,potential
0,2024-11-08,1,11.209960000000137
0,2024-11-11,1,0.969970000000103
0,2024-11-12,1,15.790030000000115
0,2024-11-13,1,0.14002000000004955
0,2024-11-14,1,10.540039999999863
0,2024-11-18,0,-1.0
0,2024-11-19,1,12.070069999999987
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,6.970090000000027
0,2024-11-26,1,5.230099999999993
0,2024-11-27,1,1.79004000000009
0,2024-11-28,1,5.619989999999916
0,2024-11-29,1,7.489990000000034
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,5.589969999999994
0,2024-12-05,1,10.030029999999897
0,2024-12-06,0,-1.0
0,2024-12-09,0,-1.0
0,2024-12-10,1,4.710079999999834
0,2024-12-11,1,0.48999000000003434
0,2024-12-12,1,29.800050000000056
0,2024-12-13,1,2.4000200000000405
0,2024-12-16,1,15.110110000000077
0,2024-12-17,1,6.5999799999999595
0,2024-12-18,1,26.03991999999994
0,2024-12-19,1,11.53002000000015
0,2024-12-20,1,1.2199699999998757
0,2024-12-23,1,4.710080000000062
0,2024-12-24,1,0.9200400000001991
0,2024-12-26,0,-1.0
0,2024-12-27,1,4.339969999999994
0,2024-12-30,1,19.180049999999937
0,2024-12-31,1,3.109989999999925
0,2025-01-01,0,-1.0
0,2025-01-02,1,1.2800200000001496
0,2025-01-03,1,13.939949999999953
0,2025-01-06,1,1.2799099999999726
0,2025-01-07,1,13.020019999999931
0,2025-01-08,1,5.3499799999999595
0,2025-01-09,1,28.160030000000006
0,2025-01-10,1,18.380009999999857
0,2025-01-13,0,-1.0
0,2025-01-14,1,12.180049999999937
0,2025-01-15,0,-1.0
0,2025-01-16,1,14.710080000000062
0,2025-01-17,1,5.6500200000000405
0,2025-01-20,1,17.60997999999995
0,2025-01-21,1,10.280030000000124
0,2025-01-22,1,5.5999799999999595
0,2025-01-23,1,12.799929999999904
0,2025-01-24,1,29.35010000000011
0,2025-01-27,1,5.130000000000109
0,2025-01-28,1,1.4300499999999374
0,2025-01-29,0,-1.0
0,2025-01-30,1,5.940059999999903
0,2025-01-31,1,2.6099900000001526
0,2025-02-01,1,18.80993999999987
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,3.5300300000001243
0,2025-02-06,1,11.760009999999966
0,2025-02-07,1,18.989990000000034
0,2025-02-10,1,24.349969999999985
0,2025-02-11,1,29.930050000000165
0,2025-02-12,1,2.010010000000193
0,2025-02-13,1,16.439949999999953
0,2025-02-14,1,18.65002000000004
0,2025-02-17,1,11.810050000000047
0,2025-02-18,1,5.280029999999897
0,2025-02-19,1,2.0500499999998283
0,2025-02-20,1,10.10008999999991
0,2025-02-21,1,17.739990000000034
0,2025-02-24,1,1.7900399999998626
0,2025-02-25,0,-1.0
0,2025-02-27,1,22.610099999999875
0,2025-02-28,1,17.109980000000178
0,2025-03-03,1,13.549929999999904
0,2025-03-04,1,4.209960000000137
0,2025-03-05,0,-1.0
0,2025-03-06,1,1.5
0,2025-03-07,1,1.5100099999999657
0,2025-03-10,1,20.22998000000007
0,2025-03-11,1,3.2100799999998344
0,2025-03-12,1,4.649899999999889
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,0,-1.0
0,2025-03-19,1,2.930059999999912
0,2025-03-20,0,-1.0
0,2025-03-21,0,-1.0
0,2025-03-24,1,4.540039999999863
0,2025-03-25,1,0.12000000000011823
0,2025-03-26,1,2.339960000000019
0,2025-03-27,1,1.969970000000103
0,2025-03-28,1,8.75
0,2025-04-01,1,4.839960000000019
0,2025-04-02,1,7.410030000000006
0,2025-04-03,1,20.52001999999993
0,2025-04-04,1,68.79003999999986
0,2025-04-07,0,-1.0
0,2025-04-08,1,20.050050000000056
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,2.1400099999998474
0,2025-04-16,1,8.229980000000069
