,date,accuracy,potential
0,2024-11-11,1,9.140010000000075
0,2024-11-12,1,0.6999499999999443
0,2024-11-13,1,6.849969999999985
0,2024-11-14,1,4.6400200000000495
0,2024-11-15,1,4.119999999999891
0,2024-11-18,1,13.510009999999966
0,2024-11-19,1,9.449959999999919
0,2024-11-20,1,0.07006000000001222
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,15.530030000000124
0,2024-11-26,0,-1.0
0,2024-11-27,0,-1.0
0,2024-11-29,1,9.770020000000159
0,2024-12-02,1,12.939949999999953
0,2024-12-03,1,5.5
0,2024-12-04,1,9.579960000000028
0,2024-12-05,0,-1.0
0,2024-12-06,1,0.29004000000009
0,2024-12-09,1,15.700070000000096
0,2024-12-10,0,-1.0
0,2024-12-11,1,11.800049999999828
0,2024-12-12,1,8.819950000000063
0,2024-12-13,1,2.79004000000009
0,2024-12-16,1,10.970090000000027
0,2024-12-17,1,2.059940000000097
0,2024-12-18,1,2.8799999999998818
0,2024-12-19,1,5.770019999999931
0,2024-12-20,1,10.530029999999897
0,2024-12-23,1,2.869999999999891
0,2024-12-24,1,5.429939999999988
0,2024-12-26,1,9.859989999999925
0,2024-12-27,1,23.380010000000084
0,2024-12-30,0,-1.0
0,2024-12-31,1,1.1800599999999122
0,2025-01-02,1,1.7900399999998626
0,2025-01-03,0,-1.0
0,2025-01-06,1,8.489990000000034
0,2025-01-07,1,13.14002000000005
0,2025-01-08,1,20.66003999999998
0,2025-01-10,1,7.199959999999919
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,0,-1.0
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,1,8.58008000000018
0,2025-01-22,1,5.429930000000013
0,2025-01-23,1,1.380010000000084
0,2025-01-24,1,12.5
0,2025-01-27,1,8.649899999999889
0,2025-01-28,1,4.719969999999876
0,2025-01-29,0,-1.0
0,2025-01-30,1,2.619999999999891
0,2025-01-31,1,35.59007999999994
0,2025-02-03,0,-1.0
0,2025-02-04,1,14.08996000000002
0,2025-02-05,1,3.9500699999998687
0,2025-02-06,1,11.800049999999828
0,2025-02-07,0,-1.0
0,2025-02-10,1,6.66991999999982
0,2025-02-11,1,19.179930000000013
0,2025-02-12,0,-1.0
0,2025-02-13,1,4.280029999999897
0,2025-02-14,0,-1.0
0,2025-02-18,1,11.149899999999889
0,2025-02-19,1,10.660030000000006
0,2025-02-20,1,18.079950000000053
0,2025-02-21,1,8.510009999999966
0,2025-02-24,1,5.03002000000015
0,2025-02-25,0,-1.0
0,2025-02-26,1,2.0500500000000557
0,2025-02-27,0,-1.0
0,2025-02-28,1,7.280029999999897
0,2025-03-03,1,35.26990000000001
0,2025-03-04,0,-1.0
0,2025-03-05,1,16.540039999999863
0,2025-03-06,1,7.4400600000001305
0,2025-03-07,1,16.459960000000137
0,2025-03-10,1,22.150030000000015
0,2025-03-11,1,11.020019999999931
0,2025-03-12,1,4.260009999999966
0,2025-03-13,0,-1.0
0,2025-03-14,1,2.4899900000000343
0,2025-03-17,1,11.710080000000062
0,2025-03-18,0,-1.0
0,2025-03-19,1,15.709960000000137
0,2025-03-20,1,22.19995999999992
0,2025-03-21,0,-1.0
0,2025-03-24,1,0.469970000000103
0,2025-03-25,0,-1.0
0,2025-03-26,1,19.089969999999994
0,2025-03-27,1,23.530029999999897
0,2025-03-28,1,23.849969999999985
0,2025-03-31,1,12.060050000000047
0,2025-04-01,1,14.929930000000013
0,2025-04-02,1,83.04993000000013
0,2025-04-03,1,73.84002999999996
0,2025-04-04,1,48.22002999999995
0,2025-04-07,0,-1.0
0,2025-04-08,1,13.569949999999949
0,2025-04-09,1,40.20995999999991
0,2025-04-10,1,13.420039999999972
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,11.839969999999994
0,2025-04-16,0,-1.0
