,date,accuracy,potential
0,2024-11-11,0,-1
0,2024-11-12,1,0.37000000000000455
0,2024-11-13,1,3.039980000000014
0,2024-11-14,1,5.739990000000034
0,2024-11-15,1,1.5399800000000141
0,2024-11-18,1,6.5999799999999595
0,2024-11-19,1,2.930050000000051
0,2024-11-20,1,4.010009999999966
0,2024-11-21,0,-1
0,2024-11-22,0,-1
0,2024-11-25,1,5.470030000000065
0,2024-11-26,0,-1
0,2024-11-27,0,-1
0,2024-11-29,1,8.590029999999956
0,2024-12-02,1,11.719980000000078
0,2024-12-03,1,4.520020000000045
0,2024-12-04,1,9.150030000000015
0,2024-12-05,1,0.6900000000000546
0,2024-12-06,1,1.6499600000000783
0,2024-12-09,1,8.979979999999955
0,2024-12-10,1,0.5100099999999657
0,2024-12-11,1,3.1699899999999843
0,2024-12-12,1,3.1699800000000096
0,2024-12-13,0,-1
0,2024-12-16,1,5.659970000000044
0,2024-12-17,1,0.7099600000000237
0,2024-12-18,0,-1
0,2024-12-19,1,3.979979999999955
0,2024-12-20,1,6.609980000000064
0,2024-12-23,1,2.119989999999916
0,2024-12-24,1,1.9199899999999843
0,2024-12-26,1,4.9700299999999515
0,2024-12-27,1,12.790039999999976
0,2024-12-30,0,-1
0,2024-12-31,1,0.8500399999999217
0,2025-01-02,1,0.399970000000053
0,2025-01-03,0,-1
0,2025-01-06,1,0.8199999999999363
0,2025-01-07,1,5.470030000000065
0,2025-01-08,1,10.390010000000075
0,2025-01-10,1,3.1900000000000546
0,2025-01-13,1,3.479979999999955
0,2025-01-14,1,1.2000100000000202
0,2025-01-15,1,1.4600199999999859
0,2025-01-16,0,-1
0,2025-01-17,0,-1
0,2025-01-21,1,2.5299700000000485
0,2025-01-22,1,1.0
0,2025-01-23,1,1.5100099999999657
0,2025-01-24,0,-1
0,2025-01-27,1,7.4000200000000405
0,2025-01-28,1,3.299980000000005
0,2025-01-29,1,2.339969999999994
0,2025-01-30,1,2.4899900000000343
0,2025-01-31,1,16.4000299999999
0,2025-02-03,1,0.6799899999999752
0,2025-02-04,1,5.359990000000039
0,2025-02-05,1,17.06000000000006
0,2025-02-06,1,6.8599799999999505
0,2025-02-07,1,4.16998000000001
0,2025-02-10,1,5.619989999999916
0,2025-02-11,1,12.010009999999966
0,2025-02-12,0,-1
0,2025-02-13,1,1.3500300000000607
0,2025-02-14,0,-1
0,2025-02-18,1,3.310000000000059
0,2025-02-19,1,8.279969999999935
0,2025-02-20,1,4.469969999999989
0,2025-02-21,1,0.5100099999999657
0,2025-02-24,0,-1
0,2025-02-25,1,8.109990000000039
0,2025-02-26,0,-1
0,2025-02-27,0,-1
0,2025-02-28,0,-1
0,2025-03-03,1,17.58001999999999
0,2025-03-04,0,-1
0,2025-03-05,1,5.660030000000006
0,2025-03-06,1,2.6599800000000187
0,2025-03-07,1,4.010009999999966
0,2025-03-10,1,11.809999999999945
0,2025-03-11,1,4.920039999999972
0,2025-03-12,1,5.300049999999942
0,2025-03-13,0,-1
0,2025-03-14,1,0.49004999999999654
0,2025-03-17,1,3.5
0,2025-03-18,0,-1
0,2025-03-19,1,3.7600100000000793
0,2025-03-20,1,11.020020000000045
0,2025-03-21,0,-1
0,2025-03-24,1,0.34001999999998134
0,2025-03-25,0,-1
0,2025-03-26,1,5.16998000000001
0,2025-03-27,1,8.429989999999975
0,2025-03-28,1,6.149970000000053
0,2025-03-31,1,6.109989999999925
0,2025-04-01,1,4.710019999999986
0,2025-04-02,1,35.05998999999997
0,2025-04-03,1,35.45001000000002
0,2025-04-04,1,28.80004000000008
0,2025-04-07,0,-1
0,2025-04-08,1,11.660030000000006
0,2025-04-09,1,17.559999999999945
0,2025-04-10,1,4.70001000000002
0,2025-04-11,0,-1
0,2025-04-14,1,0.2899800000000141
0,2025-04-15,1,8.54998999999998
0,2025-04-16,0,-1
