,date,accuracy,potential
0,2024-11-11,1,1.0400099999999952
0,2024-11-12,1,5.420009999999991
0,2024-11-13,1,2.0300000000000296
0,2024-11-14,1,0.5199899999999502
0,2024-11-15,0,-1.0
0,2024-11-18,1,4.189999999999998
0,2024-11-19,1,0.8499799999999595
0,2024-11-20,0,-1.0
0,2024-11-21,1,0.13000000000010914
0,2024-11-22,1,9.239990000000034
0,2024-11-25,0,-1.0
0,2024-11-26,1,1.75
0,2024-11-27,0,-1.0
0,2024-11-29,1,14.179990000000032
0,2024-12-02,1,2.5800200000000473
0,2024-12-03,1,6.439999999999998
0,2024-12-04,0,-1.0
0,2024-12-05,1,10.189999999999998
0,2024-12-06,1,7.710019999999986
0,2024-12-09,1,1.5499899999999798
0,2024-12-10,0,-1.0
0,2024-12-11,1,2.859989999999982
0,2024-12-12,1,4.649999999999977
0,2024-12-13,1,3.589999999999975
0,2024-12-16,1,10.269990000000007
0,2024-12-17,1,2.6000000000000227
0,2024-12-18,1,1.7099900000000048
0,2024-12-19,1,1.3699900000000298
0,2024-12-20,1,4.459989999999948
0,2024-12-23,1,1.3000099999999861
0,2024-12-24,1,4.729980000000012
0,2024-12-26,1,2.3500000000000227
0,2024-12-27,1,4.720010000000002
0,2024-12-30,0,-1.0
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,1.0100100000000225
0,2025-01-06,1,1.1499999999999773
0,2025-01-07,1,3.0799900000000093
0,2025-01-08,1,3.8999900000000025
0,2025-01-10,0,-1.0
0,2025-01-13,0,-1.0
0,2025-01-14,0,-1.0
0,2025-01-15,1,0.7300400000000309
0,2025-01-16,1,0.21996999999998934
0,2025-01-17,0,-1.0
0,2025-01-21,1,14.289980000000014
0,2025-01-22,1,1.2099600000000237
0,2025-01-23,1,2.9799800000000687
0,2025-01-24,1,23.289980000000014
0,2025-01-27,1,4.080010000000016
0,2025-01-28,1,0.6300000000000523
0,2025-01-29,0,-1.0
0,2025-01-30,1,6.639990000000012
0,2025-01-31,1,6.680020000000013
0,2025-02-03,1,4.510009999999966
0,2025-02-04,0,-1.0
0,2025-02-05,1,13.130000000000052
0,2025-02-06,1,2.020020000000045
0,2025-02-07,0,-1.0
0,2025-02-10,1,7.33001999999999
0,2025-02-11,1,6.279999999999973
0,2025-02-12,1,1.1300000000000523
0,2025-02-13,0,-1.0
0,2025-02-14,0,-1.0
0,2025-02-18,1,0.13001000000002705
0,2025-02-19,1,8.16001
0,2025-02-20,1,6.1200000000000045
0,2025-02-21,1,5.729980000000012
0,2025-02-24,1,15.449979999999982
0,2025-02-25,1,1.2999899999999798
0,2025-02-26,1,1.7099900000000048
0,2025-02-27,1,0.61002000000002
0,2025-02-28,1,2.339999999999975
0,2025-03-03,1,16.960019999999986
0,2025-03-04,1,9.70999999999998
0,2025-03-05,1,10.669989999999984
0,2025-03-06,1,0.09998000000001639
0,2025-03-07,1,6.8500099999999975
0,2025-03-10,1,0.3800000000000523
0,2025-03-11,0,-1.0
0,2025-03-12,1,1.1899999999999977
0,2025-03-13,0,-1.0
0,2025-03-14,0,-1.0
0,2025-03-17,1,0.640010000000018
0,2025-03-18,0,-1.0
0,2025-03-19,1,3.430020000000013
0,2025-03-20,1,5.120020000000011
0,2025-03-21,0,-1.0
0,2025-03-24,0,-1.0
0,2025-03-25,0,-1.0
0,2025-03-26,1,5.279999999999973
0,2025-03-27,1,3.9199899999999843
0,2025-03-28,1,5.229989999999987
0,2025-03-31,1,5.629979999999989
0,2025-04-01,1,4.980009999999993
0,2025-04-02,1,31.390010000000018
0,2025-04-03,1,49.56
0,2025-04-04,1,22.759979999999985
0,2025-04-07,0,-1.0
0,2025-04-08,1,12.939999999999998
0,2025-04-09,1,20.370000000000005
0,2025-04-10,1,5.5599900000000275
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
