,date,accuracy,potential
0,2024-11-11,1,0.4199899999999843
0,2024-11-12,0,-1.0
0,2024-11-13,1,9.210019999999986
0,2024-11-14,0,-1.0
0,2024-11-15,0,-1.0
0,2024-11-18,1,15.009999999999991
0,2024-11-19,1,4.930000000000064
0,2024-11-20,1,0.17998999999997523
0,2024-11-21,1,4.339969999999994
0,2024-11-22,1,3.2700199999999313
0,2024-11-25,0,-1.0
0,2024-11-26,0,-1.0
0,2024-11-27,1,2.8500300000000607
0,2024-11-29,1,15.010009999999966
0,2024-12-02,1,8.090029999999956
0,2024-12-03,1,4.32000000000005
0,2024-12-04,0,-1.0
0,2024-12-05,1,8.720029999999952
0,2024-12-06,1,23.330010000000016
0,2024-12-09,1,5.45001000000002
0,2024-12-10,1,1.3200100000000248
0,2024-12-11,1,1.639949999999999
0,2024-12-12,1,6.5299700000000485
0,2024-12-13,1,0.7999899999999798
0,2024-12-16,1,3.6599800000000187
0,2024-12-17,1,6.349969999999985
0,2024-12-18,1,5.239989999999921
0,2024-12-19,0,-1.0
0,2024-12-20,1,15.040039999999976
0,2024-12-23,1,6.179989999999975
0,2024-12-24,1,15.440009999999916
0,2024-12-26,1,4.559990000000084
0,2024-12-27,1,13.670049999999947
0,2024-12-30,1,0.20001000000002023
0,2024-12-31,0,-1.0
0,2025-01-02,0,-1.0
0,2025-01-03,1,5.530030000000011
0,2025-01-06,1,1.5899699999999939
0,2025-01-07,1,8.79998999999998
0,2025-01-08,1,14.010009999999966
0,2025-01-10,1,4.86999000000003
0,2025-01-13,1,1.389949999999999
0,2025-01-14,1,8.69001000000003
0,2025-01-15,1,0.19000000000005457
0,2025-01-16,1,2.9399399999999787
0,2025-01-17,0,-1.0
0,2025-01-21,1,9.710019999999986
0,2025-01-22,0,-1.0
0,2025-01-23,0,-1.0
0,2025-01-24,0,-1.0
0,2025-01-27,1,5.809989999999971
0,2025-01-28,0,-1.0
0,2025-01-29,1,15.85997999999995
0,2025-01-30,1,4.0799500000000535
0,2025-01-31,1,7.960019999999986
0,2025-02-03,1,4.400030000000015
0,2025-02-04,1,0.4299900000000889
0,2025-02-05,0,-1.0
0,2025-02-06,1,7.350040000000035
0,2025-02-07,1,3.75
0,2025-02-10,1,6.810000000000059
0,2025-02-11,1,7.029969999999935
0,2025-02-12,1,9.779970000000048
0,2025-02-13,1,2.6999499999999443
0,2025-02-14,1,11.809999999999945
0,2025-02-18,1,3.219979999999964
0,2025-02-19,1,6.149970000000053
0,2025-02-20,1,1.229979999999955
0,2025-02-21,1,1.8299600000000282
0,2025-02-24,0,-1.0
0,2025-02-25,1,6.0
0,2025-02-26,1,5.050040000000081
0,2025-02-27,1,1.9300499999999374
0,2025-02-28,1,3.130010000000084
0,2025-03-03,1,9.819950000000063
0,2025-03-04,1,7.5799500000000535
0,2025-03-05,1,7.1700400000000855
0,2025-03-06,1,5.319950000000063
0,2025-03-07,0,-1.0
0,2025-03-10,1,3.4799800000000687
0,2025-03-11,1,11.759890000000041
0,2025-03-12,0,-1.0
0,2025-03-13,1,3.5
0,2025-03-14,0,-1.0
0,2025-03-17,1,7.449959999999919
0,2025-03-18,1,6.620000000000118
0,2025-03-19,1,11.75
0,2025-03-20,1,7.190059999999903
0,2025-03-21,1,2.1500200000000405
0,2025-03-24,1,12.73004000000003
0,2025-03-25,0,-1.0
0,2025-03-26,0,-1.0
0,2025-03-27,1,1.7399900000000343
0,2025-03-28,0,-1.0
0,2025-03-31,1,10.85997999999995
0,2025-04-01,1,16.97998000000007
0,2025-04-02,0,-1.0
0,2025-04-03,1,30.030030000000124
0,2025-04-04,1,40.10003999999992
0,2025-04-07,0,-1.0
0,2025-04-08,1,18.479979999999955
0,2025-04-09,1,1.3199500000000626
0,2025-04-10,1,2.3000500000000557
0,2025-04-11,0,-1.0
0,2025-04-14,1,2.8299600000000282
0,2025-04-15,0,-1.0
0,2025-04-16,0,-1.0
