,date,accuracy,potential
0,2024-11-08,1,37.330080000001544
0,2024-11-11,1,9.040039999999863
0,2024-11-12,1,76.39942000000156
0,2024-11-13,1,16.799809999998615
0,2024-11-14,1,75.36034999999902
0,2024-11-18,0,-1.0
0,2024-11-19,1,112.83007999999973
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,29.31934000000001
0,2024-11-26,1,9.470699999999852
0,2024-11-27,1,46.4296800000011
0,2024-11-28,1,2.370120000001407
0,2024-11-29,1,34.259759999999005
0,2024-12-02,0,-1.0
0,2024-12-03,0,-1.0
0,2024-12-04,1,31.570310000000973
0,2024-12-05,1,19.230469999998604
0,2024-12-06,1,37.54003999999986
0,2024-12-09,1,10.299809999998615
0,2024-12-10,1,9.179689999999027
0,2024-12-11,1,7.6904299999987416
0,2024-12-12,1,138.4794899999997
0,2024-12-13,1,35.609379999999874
0,2024-12-16,1,84.56055000000015
0,2024-12-17,1,40.95996000000014
0,2024-12-18,1,133.89942000000156
0,2024-12-19,1,56.239260000000286
0,2024-12-20,0,-1.0
0,2024-12-23,1,18.40038999999888
0,2024-12-24,1,0.6298799999985931
0,2024-12-26,0,-1.0
0,2024-12-27,1,40.37010999999984
0,2024-12-30,1,82.54981000000043
0,2024-12-31,1,35.08983999999873
0,2025-01-01,1,1.4296899999990273
0,2025-01-02,1,46.81934000000001
0,2025-01-03,1,71.04003999999986
0,2025-01-06,0,-1.0
0,2025-01-07,1,61.47069999999985
0,2025-01-08,1,40.790030000000115
0,2025-01-09,1,99.85938000000169
0,2025-01-10,1,112.36035000000084
0,2025-01-13,0,-1.0
0,2025-01-14,1,20.980470000000423
0,2025-01-15,0,-1.0
0,2025-01-16,1,57.06055000000015
0,2025-01-17,1,14.349609999999302
0,2025-01-20,1,89.13964999999916
0,2025-01-21,1,23.889649999999165
0,2025-01-22,1,26.819330000000264
0,2025-01-23,1,52.450190000001385
0,2025-01-24,1,123.04979999999887
0,2025-01-27,1,2.450199999999313
0,2025-01-28,0,-1.0
0,2025-01-29,1,7.0898400000005495
0,2025-01-30,1,7.040039999999863
0,2025-01-31,1,9.37010999999984
0,2025-02-01,1,106.14062999999987
0,2025-02-03,0,-1.0
0,2025-02-04,0,-1.0
0,2025-02-05,1,18.09961000000112
0,2025-02-06,1,58.1503900000007
0,2025-02-07,1,86.88964999999916
0,2025-02-10,1,66.74022999999943
0,2025-02-11,1,122.20020000000113
0,2025-02-12,1,18.21972999999889
0,2025-02-13,1,56.62989000000016
0,2025-02-14,1,84.51073999999971
0,2025-02-17,1,62.97069999999985
0,2025-02-18,1,40.73925999999847
0,2025-02-19,1,27.890629999999874
0,2025-02-20,1,69.29003999999986
0,2025-02-21,1,79.38964999999916
0,2025-02-24,1,9.530279999999038
0,2025-02-25,1,7.200199999999313
0,2025-02-27,1,122.54003999999986
0,2025-02-28,1,57.43946000000142
0,2025-03-03,1,79.47950000000128
0,2025-03-04,0,-1.0
0,2025-03-05,1,16.860349999999016
0,2025-03-06,1,20.299809999998615
0,2025-03-07,1,13.020510000000286
0,2025-03-10,1,52.5
0,2025-03-11,1,41.22069999999985
0,2025-03-12,1,0.8896500000009837
0,2025-03-13,0,-1.0
0,2025-03-17,0,-1.0
0,2025-03-18,1,9.94043000000056
0,2025-03-19,0,-1.0
0,2025-03-20,1,4.209960000000137
0,2025-03-21,0,-1.0
0,2025-03-24,1,9.21972999999889
0,2025-03-25,0,-1.0
0,2025-03-26,1,11.970699999999852
0,2025-03-27,1,18.21972000000096
0,2025-03-28,1,73.54981000000043
0,2025-04-01,1,15.359370000000126
0,2025-04-02,1,52.820309999999154
0,2025-04-03,1,139.5898500000003
0,2025-04-04,1,414.1298800000004
0,2025-04-07,0,-1.0
0,2025-04-08,1,77.77049999999872
0,2025-04-09,0,-1.0
0,2025-04-11,0,-1.0
0,2025-04-15,1,24.129880000000412
0,2025-04-16,1,43.31055000000015
