,date,accuracy,potential
0,2024-11-11,1,3.9399399999999787
0,2024-11-12,1,3.2299800000000687
0,2024-11-13,1,3.9699699999998757
0,2024-11-14,1,16.469970000000103
0,2024-11-15,1,0.5799600000000282
0,2024-11-18,1,8.680049999999937
0,2024-11-19,1,12.050050000000056
0,2024-11-20,1,4.989990000000034
0,2024-11-21,0,-1.0
0,2024-11-22,0,-1.0
0,2024-11-25,1,0.02002000000015869
0,2024-11-26,1,5.800040000000081
0,2024-11-27,0,-1.0
0,2024-11-29,1,0.389889999999923
0,2024-12-02,1,3.1500200000000405
0,2024-12-03,0,-1.0
0,2024-12-04,1,2.1700399999999718
0,2024-12-05,0,-1.0
0,2024-12-06,1,6.700069999999869
0,2024-12-09,1,1.1699200000000474
0,2024-12-10,0,-1.0
0,2024-12-11,1,5.520019999999931
0,2024-12-12,1,3.599969999999985
0,2024-12-13,0,-1.0
0,2024-12-16,1,8.770020000000159
0,2024-12-17,1,0.8199499999998352
0,2024-12-18,0,-1.0
0,2024-12-19,1,6.859980000000178
0,2024-12-20,1,6.680050000000165
0,2024-12-23,0,-1.0
0,2024-12-24,1,6.6500200000000405
0,2024-12-26,1,19.44006000000013
0,2024-12-27,1,22.81006000000002
0,2024-12-30,1,1.0098900000000413
0,2024-12-31,1,0.5599400000000969
0,2025-01-02,0,-1.0
0,2025-01-03,0,-1.0
0,2025-01-06,1,11.010009999999966
0,2025-01-07,1,6.580069999999978
0,2025-01-08,1,23.13000000000011
0,2025-01-10,1,11.45995999999991
0,2025-01-13,1,0.9899900000000343
0,2025-01-14,0,-1.0
0,2025-01-15,1,2.880000000000109
0,2025-01-16,0,-1.0
0,2025-01-17,0,-1.0
0,2025-01-21,0,-1.0
0,2025-01-22,1,2.219970000000103
0,2025-01-23,1,1.2299799999998413
0,2025-01-24,1,26.650030000000015
0,2025-01-27,1,4.040030000000115
0,2025-01-28,1,4.219970000000103
0,2025-01-29,1,0.40002000000004045
0,2025-01-30,0,-1.0
0,2025-01-31,1,26.72998000000007
0,2025-02-03,1,0.29993000000013126
0,2025-02-04,1,6.190059999999903
0,2025-02-05,1,0.030029999999896972
0,2025-02-06,1,11.25
0,2025-02-07,0,-1.0
0,2025-02-10,1,4.490109999999959
0,2025-02-11,1,15.030029999999897
0,2025-02-12,0,-1.0
0,2025-02-13,0,-1.0
0,2025-02-14,1,0.75
0,2025-02-18,1,4.259890000000041
0,2025-02-19,1,13.5
0,2025-02-20,1,10.59997999999996
0,2025-02-21,1,7.860110000000077
0,2025-02-24,1,13.930049999999937
0,2025-02-25,0,-1.0
0,2025-02-26,1,7.510009999999966
0,2025-02-27,1,3.4399499999999534
0,2025-02-28,1,5.229980000000069
0,2025-03-03,1,26.139889999999923
0,2025-03-04,1,2.4099099999998543
0,2025-03-05,1,20.420049999999947
0,2025-03-06,1,9.979980000000069
0,2025-03-07,1,28.260009999999966
0,2025-03-10,1,14.230099999999993
0,2025-03-11,1,4.020010000000184
0,2025-03-12,1,9.639900000000125
0,2025-03-13,0,-1.0
0,2025-03-14,1,1.1099800000001778
0,2025-03-17,1,16.319950000000063
0,2025-03-18,0,-1.0
0,2025-03-19,1,9.560060000000021
0,2025-03-20,1,13.409909999999854
0,2025-03-21,0,-1.0
0,2025-03-24,1,0.6800499999999374
0,2025-03-25,1,5.780030000000124
0,2025-03-26,1,9.03002000000015
0,2025-03-27,1,20.989990000000034
0,2025-03-28,1,20.390010000000075
0,2025-03-31,1,10.889889999999923
0,2025-04-01,1,13.069950000000063
0,2025-04-02,1,59.0799599999998
0,2025-04-03,1,63.46997999999985
0,2025-04-04,1,52.5
0,2025-04-07,0,-1.0
0,2025-04-08,1,9.030030000000124
0,2025-04-09,1,40.22998000000007
0,2025-04-10,1,10.84997999999996
0,2025-04-11,0,-1.0
0,2025-04-14,0,-1.0
0,2025-04-15,1,17.110110000000077
0,2025-04-16,1,3.550040000000081
