,symbol
0,CNXFMCG
1,XBANK
2,NIFTYQUALITY30
3,DJUSRD
4,DJUSMC
5,NIFTY100LOWVOL30
6,BSE.SMEIPO
7,TRMI
8,TFBI
9,BSE.PR.OWER
10,DJUSDN
11,LRGCAP
12,BSE.500
13,NIFTYALPHALOWVOL
14,CNXCONSUM
15,CNX100
16,LMI250
17,DJUSTK
18,TSSI
19,TBNI
20,DFMGI
21,NIFTY100ESGSECLDR
22,DJUSIP
23,DJUSDR
24,NIFTYMIDLIQ15
25,NLIN
26,QERP
27,MXX
28,NSEI
29,INFRASTRUCTURE
30,BSEMOI
31,NIFTY_MIDCAP_100
32,DJUSTB
33,CNXPHARMA
34,BSE.100
35,ESG100
36,CNXREALTY
37,CNXINFRA
38,TMDI
39,TTNI
40,DJUSIQ
41,DJUSPB
42,DJUSWU
43,TELCOM
44,NIFTY200QUALTY30
45,NIFTY50EQUALWEIGHT
46,QEAS
47,QBNK
48,DJUSRR
49,XOI
50,DJUSAI
51,CNXMETAL
52,BSE.MIDCAP
53,DFRGRI
54,DJUSLE
55,DJUSAR
56,DJUSOI
57,DJUSOS
58,QETR
59,DJUSGI
60,CNX200
61,DJUSSD
62,KQ184
63,CNXCMDT
64,BSE.BANK
65,CNXPSUBANK
66,BHRT22
67,TUTI
68,NIFTY200MOMENTM30
69,NIFTY100_EQL_WGT
70,BSEQUI
71,BSEDSI
72,MFG
73,NLHC
74,DJUSST
75,INDN
76,TASI
77,BSE.METAL
78,BSE.CG
79,TDAI
80,DJUSOQ
81,NSEBANK
82,DJUSRS
83,GSPTTCS
84,GSPE
85,FTSE
86,DOLLEX30
87,DJUSVN
88,TISI
89,DJUSIM
90,DJUSME
91,NSEMDCP50
92,DJUSIT
93,NIFTYSMLCAP50
94,DJUSHV
95,DJUSPL
96,CNXPSE
97,DJUSUO
98,CNXMEDIA
99,MIDSEL
100,CNXIT
101,DJUSCX
102,DJUSAF
103,QIND
104,GSPC
105,CNXFIN
106,TXIE
107,DJT
108,DJUSNF
109,BSEEVI
110,DJUSSP
111,SP400
112,QERI
113,NIFTYMIDSML400
114,NI15
115,TX60
116,BSE.AUTO
117,NIFTY_PVT_BANK
118,DJUSAU
119,DJUSHG
120,CRSMID
121,DJI2MN
122,DJUSRT
123,DJUSFP
124,DJUSCC
125,DJUSCN
126,DJUSCP
127,DJUSNS
128,DJUSRH
129,SPTMI
130,DJUSPC
131,SP1500
132,BSE.PR.SU
133,DJUSIL
134,DJUSHR
135,NIFTYMIDCAP150
136,BSESN
137,TTSI
138,DJUSNG
139,INDSTR
140,DJUSIN
141,BSE.IPO
142,BEOGP
143,SPCBMIRWDUSD1
144,KRX100EW
145,DJUSBE
146,DJUSNC
147,BSE.TECK
148,DJUSEN
149,DJUSRU
150,DJUSOL
151,CNXENERGY
152,DJUSFE
153,BSE.REALTY
154,BELSC
155,BELMG
156,DJUSAS
157,DJUSEE
158,AMX
159,EZ300
